# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00127071
# detector_reference_ns 29.3989
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 12 217 23.6967 29.3373 29.3351 0.186419 1 0.0637654
2 13 1611 24.447 29.2008 29.1977 0.0694743 1 0.20122
2 14 1216 24.5703 29.3202 29.3169 0.0689535 1 0.0819366
2 15 1471 23.4491 29.4362 29.4343 0.0705772 1 -0.035456
2 16 2370 23.1279 29.2824 29.281 0.0450821 1 0.117881
2 17 1564 23.3645 29.4723 29.4706 0.060512 1 -0.0717265
2 18 1214 23.09 29.4139 29.4125 0.0720017 1 -0.0136265
2 19 763 22.9373 29.3835 29.3823 0.0750161 1 0.0165424
2 20 1000 22.4891 29.1861 29.1854 0.0864253 1 0.213433
2 21 3385 22.2291 29.2515 29.2513 0.0359641 1 0.14762
2 22 2 21.005 39.0262 39.0275 4.54498 0 0
2 23 1070 22.2006 29.5215 29.5212 0.0894985 1 -0.12237
2 24 469 21.1618 29.4279 29.4289 0.127332 1 -0.0300659
2 25 2453 22.0518 29.1413 29.1413 0.042372 1 0.25759
2 26 5180 21.8926 29.5682 29.5683 0.029914 1 -0.169434
2 27 16798 21.931 29.1857 29.1857 0.0154903 1 0.213132
2 28 8596 21.5691 29.2787 29.2792 0.0240681 1 0.119647
2 29 9147 20.5782 29.1749 29.1768 0.0226409 1 0.222116
2 30 20002 20.9893 29.3902 29.3915 0.0146869 1 0.00738998
2 31 1203 20.9866 29.2197 29.221 0.0758586 1 0.177921
2 32 6071 19.7441 29.2246 29.2274 0.0307206 1 0.171435
2 33 6073 19.5116 29.0637 29.0669 0.0266511 1 0.331992
2 34 6972 21.0783 29.2949 29.2961 0.0380832 1 0.102778
2 35 3789 23.5 29.4098 29.4079 0.0533268 1 -0.00898275
2 36 3965 21.0281 29.4947 29.496 0.0371107 1 -0.0971024
2 37 4501 19.4246 29.2852 29.2884 0.0410237 1 0.110439
2 38 1036 18.3544 29.5409 29.5455 0.0924763 1 -0.146664
2 39 14 19.5885 38.0366 38.0396 0.65931 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 5 25.8412 36.7248 36.7199 2.35173 0 0
2 45 747 25.82 29.2089 29.204 0.0908242 1 0.194874
2 46 0 nan nan nan nan 0 0
2 47 367 25.2263 29.554 29.5499 0.179775 1 -0.151069
2 48 476 25.5857 29.5143 29.5098 0.167203 1 -0.110888
2 49 208 23.9435 29.7078 29.7053 0.201874 1 -0.306421
2 50 2769 24.4402 29.5388 29.5357 0.0481327 1 -0.136861
2 51 969 25.1132 29.6833 29.6794 0.0903931 1 -0.280498
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1531 24.7694 29.4604 29.4569 0.0675233 1 -0.0580205
2 55 1214 25.409 29.2553 29.2509 0.0691254 1 0.147939
2 56 2738 26.0858 29.2852 29.28 0.0438356 1 0.118909
2 57 1813 25.4888 28.9355 28.931 0.056222 1 0.467826
2 58 3105 26.0759 29.2558 29.2506 0.0442027 1 0.1483
2 59 856 25.0994 28.975 28.971 0.0738164 1 0.427838
2 60 1098 24.8808 29.1556 29.1519 0.079891 1 0.246932
2 61 258 23.6037 28.9506 28.9486 0.164352 1 0.450271
2 62 3302 23.1192 29.5112 29.5098 0.0451006 1 -0.110923
2 63 1868 23.5377 29.4114 29.4094 0.0629458 1 -0.0105577
2 64 1817 24.3261 29.088 29.085 0.103602 1 0.313836
2 65 1539 22.1809 29.4604 29.4602 0.0751942 1 -0.0613289
2 66 11511 22.9952 29.6884 29.6871 0.0207814 1 -0.28826
2 67 2578 23.0587 29.3117 29.3103 0.0498872 1 0.088537
2 68 5132 22.4124 29.2733 29.2728 0.0338952 1 0.126101
2 69 1990 22.5725 29.3277 29.327 0.0568226 1 0.0718781
2 70 1 18.8616 36.8314 36.8354 nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 1 25.8858 36.6985 36.6936 nan 0 0
2 73 5 19.6092 40.1998 40.2029 1.06568 0 0
2 74 43 20.509 33.4635 33.4654 1.02573 0 0
2 75 30 21.137 34.6622 34.6633 0.877346 0 0
2 76 7597 20.8155 29.4791 29.4806 0.0291147 1 -0.0817762
2 77 10639 20.6805 29.3623 29.3639 0.0195785 1 0.0349356
2 78 17701 20.0995 29.65 29.6524 0.0185918 1 -0.25353
2 79 14561 22.0224 29.4289 29.4289 0.0148116 1 -0.0300408
2 80 4264 21.6726 29.5798 29.5802 0.0353232 1 -0.181323
2 81 14 19.931 32.7467 32.7494 0.938074 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
