# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
2 3 0 5 47 471 0 43.5539 1.44716 -0.467759 0.0583132 13.5204 2 6.76018 0.00115902
2 3 0 6 48 542 0 41.8096 1.58304 -0.382987 0.0622475 8.64625 2 4.32313 0.0132584
2 4 0 0 56 3342 0 33.6742 0.3222 0.0159941 0.0121471 31.6303 4 7.90758 2.27647e-06
2 4 0 1 57 2705 0 35.6472 0.417895 -0.103084 0.0162495 100.055 4 25.0136 9.57696e-21
2 4 0 2 58 3882 0 40.2189 0.356844 -0.263642 0.013644 126.147 4 31.5368 2.59501e-26
2 4 0 3 59 1175 0 36.9387 0.76055 -0.174609 0.0304722 0.0656189 2 0.0328094 0.967723
2 4 0 4 60 1557 0 34.5358 0.566834 -0.101975 0.0228298 25.193 3 8.39765 1.40705e-05
2 4 0 5 61 349 0 36.0108 1.45282 -0.245398 0.0621362 2.12687 3 0.708957 0.546495
2 4 0 6 62 3755 0 35.26 0.345616 -0.204076 0.0149296 5.49357 3 1.83119 0.139023
2 5 0 0 70 1 -1 nan nan nan nan nan 0 nan nan
2 5 0 1 71 0 -1 nan nan nan nan nan 0 nan nan
2 5 0 2 72 2 -1 nan nan nan nan nan 0 nan nan
2 5 0 3 73 11 0 -10.25 35.7672 1.9375 1.50412 5.2868e-27 0 nan nan
2 5 0 4 74 53 0 46.4208 5.5834 -0.702726 0.268959 0.0627406 1 0.0627406 0.802216
2 5 0 5 75 37 0 29.6084 4.78821 0.15421 0.242944 0.123177 1 0.123177 0.725614
2 5 0 6 76 8453 0 32.042 0.222606 -0.197776 0.0106559 105.513 3 35.1709 1.01351e-22
2 0 1 7 7 119 0 36.2704 1.84667 -0.21188 0.0761356 2.6222 1 2.6222 0.105378
2 0 1 8 8 1102 0 35.0818 0.533937 -0.155303 0.0224272 19.8338 3 6.61125 0.000183754
2 0 1 9 9 2698 0 38.7928 0.508548 -0.290238 0.020918 8.09928 2 4.04964 0.0174286
