# DIAGNOSTIC hierarchical eight-pixel-group CDet calibration candidate
# run 5710
# calibration_stage 0
# detector_reference_median_ns -8.89326

[PixelOffsets]
0 0.000000 0
1 0.000000 0
2 0.000000 0
3 0.000000 0
4 0.000000 0
5 0.000000 0
6 0.000000 0
7 0.000000 0
8 0.000000 0
9 0.000000 0
10 0.000000 0
11 0.000000 0
12 0.000000 0
13 0.000000 0
14 0.000000 0
15 0.000000 0
16 0.000000 0
17 0.000000 0
18 0.000000 0
19 0.000000 0
20 0.000000 0
21 0.000000 0
22 0.000000 0
23 0.000000 0
24 0.000000 0
25 0.000000 0
26 0.000000 0
27 0.000000 0
28 0.000000 0
29 0.000000 0
30 0.000000 0
31 0.000000 0
32 0.000000 0
33 0.000000 1
34 0.000000 0
35 0.000000 0
36 0.000000 0
37 0.000000 0
38 0.000000 0
39 0.000000 0
40 0.000000 0
41 0.000000 0
42 0.000000 0
43 0.000000 0
44 0.000000 0
45 0.000000 0
46 0.000000 0
47 0.000000 0
48 0.000000 1
49 0.000000 0
50 0.000000 0
51 0.000000 0
52 0.000000 0
53 0.000000 0
54 0.000000 0
55 0.000000 1
56 0.000000 3
57 0.000000 0
58 0.000000 6
59 0.000000 0
60 0.000000 0
61 0.000000 0
62 0.000000 3
63 0.000000 9
64 0.000000 6
65 0.000000 0
66 0.000000 2
67 0.000000 7
68 0.000000 6
69 0.000000 4
70 0.000000 4
71 0.000000 10
72 6.137745 38
73 4.713541 34
74 4.447236 42
75 4.713541 42
76 4.713541 48
77 6.375376 41
78 4.713541 36
79 0.000000 0
80 5.675409 10
81 5.675409 5
82 5.675409 32
83 0.000000 0
84 5.675409 18
85 5.675409 3
86 11.532719 56
87 5.675409 68
88 0.000000 4
89 0.000000 2
90 0.000000 1
91 0.000000 2
92 0.000000 0
93 0.000000 0
94 0.000000 0
95 0.000000 0
96 10.804028 1
97 10.804028 0
98 10.804028 0
99 10.804028 0
100 10.804028 12
101 10.638416 89
102 10.804028 34
103 10.804028 9
104 8.764704 33
105 10.680866 98
106 8.764704 80
107 8.764704 39
108 10.713500 80
109 0.000000 0
110 5.591137 75
111 0.000000 0
112 0.000000 0
113 0.000000 0
114 0.000000 0
115 0.000000 0
116 0.000000 0
117 0.000000 0
118 0.000000 0
119 0.000000 0
120 0.000000 0
121 0.000000 0
122 0.000000 0
123 0.000000 0
124 0.000000 0
125 0.000000 0
126 0.000000 0
127 0.000000 0
128 3.506085 13
129 3.506085 47
130 4.229817 46
131 3.506085 14
132 3.506085 62
133 3.003623 48
134 3.506085 71
135 2.743131 72
136 3.492216 168
137 3.492216 134
138 3.953219 104
139 4.376120 170
140 0.000000 0
141 2.636766 147
142 3.492216 12
143 0.000000 0
144 4.677893 65
145 0.000000 0
146 2.351385 12
147 2.351385 0
148 3.630678 58
