event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	310	19	16.1240729143	32.8307310907	32.0516327584	14
0	0	0	2	1670	104	16.1240729143	31.2904338555	30.5113355232	4.851
1	0	0	1	1234	77	11.3992110297	29.8383355415	29.2875375917	9.716
1	0	0	2	2583	161	11.3992110297	30.7534596823	30.2026617325	9.181
2	0	0	1	382	23	17.2334120693	31.3825425373	30.5498420977	16.866
2	0	0	2	1727	107	17.2334120693	31.5879483658	30.7552479263	8.898
3	0	0	1	234	14	17.6048396796	32.4009362283	31.5502887952	8.378
3	0	0	2	1576	98	17.6048396796	29.2451889931	28.39454156	11.433
4	0	0	1	282	17	17.9307594638	29.1312333536	28.2648378176	11.244
4	0	0	2	1626	101	17.9307594638	29.5145909004	28.6481953644	16.221
5	0	0	1	487	30	16.1025391915	24.660635495	23.8825776496	19.968
5	0	0	2	1832	114	16.1025391915	28.0468222196	27.2687643742	17.276
6	0	0	1	993	62	14.8195352594	29.5980603973	28.8819959595	15.024
6	0	0	2	2337	146	14.8195352594	29.1052426937	28.3891782559	9.717
6	1	0	1	992	62	14.8195352594	28.9360096329	28.2199451951	18.252
6	1	0	2	2340	146	14.8195352594	28.9571941476	28.2411297098	14.347
7	0	0	1	1258	78	6.51404044316	26.9555780919	26.6408264735	11.59
7	0	0	2	2609	163	6.51404044316	26.1018813681	25.7871297496	13.622
8	0	0	1	432	27	10.2029411765	28.5291694619	28.0361740197	5.811
8	0	0	2	1781	111	10.2029411765	28.0639870897	27.5709916475	12.189
9	0	0	1	933	58	11.085554343	25.0523497034	24.5167073166	5.275
9	0	0	2	2281	142	11.085554343	27.1506101744	26.6149677875	4.677
10	0	0	1	893	55	21.0141603019	33.6209755718	32.6055933335	13.338
10	0	0	2	2235	139	21.0141603019	31.0455764431	30.0301942048	12.614
11	0	0	1	1227	76	9.81396930884	26.9552167878	26.4810160593	13.748
11	0	0	2	2579	161	9.81396930884	26.2021529678	25.7279522394	15.591
12	0	0	1	1081	67	12.7542596175	30.5086855693	29.8924130895	9.811
12	0	0	2	2428	151	12.7542596175	27.4845491924	26.8682767127	14.519
13	0	0	1	310	19	16.7391771032	26.1886207672	25.3798012441	12.771
13	0	0	2	1655	103	16.7391771032	25.631125154	24.8223056308	20.126
15	0	0	1	1229	76	11.4695593871	28.912096231	28.3578991222	9.606
15	0	0	2	2580	161	11.4695593871	32.1065269097	31.5523298009	12.063
16	0	0	1	170	10	23.1647848463	28.560545532	27.441247366	14.772
16	0	0	2	1513	94	23.1647848463	29.4082296862	28.2889315202	15.716
17	0	0	1	1213	75	11.7399667033	31.2259857693	30.658722862	6.425
17	0	0	2	2561	160	11.7399667033	33.5036651332	32.9364022259	17.401
18	0	0	1	883	55	17.5950514133	31.2164396104	30.3662651361	15.338
18	0	0	2	2225	139	17.5950514133	27.2692554685	26.4190809943	4.126
19	0	0	1	562	35	9.16328349325	28.8988411519	28.4560808812	8.803
19	0	0	2	1910	119	9.16328349325	30.7921111157	30.349350845	7.716
20	0	0	1	378	23	14.1614496678	26.4620420751	25.7777756445	17.685
20	0	0	2	1722	107	14.1614496678	26.3518399796	25.6675735491	15.874
21	0	0	1	910	56	21.1031458698	28.3804260893	27.3607441614	18.897
21	0	0	2	2252	140	21.1031458698	29.3832456705	28.3635637427	9.622
22	0	0	1	494	30	11.7723813348	28.0226700346	27.4538408861	4.535
22	0	0	2	1840	115	11.7723813348	30.799852464	30.2310233156	12.582
23	0	0	1	486	30	11.6268775946	31.3262711431	30.7644725831	21.937
23	0	0	2	1830	114	11.6268775946	31.1047702471	30.5429716871	14.378
24	0	0	1	282	17	16.768557377	33.084949368	32.2747102208	17.779
24	0	0	2	1626	101	16.768557377	33.8928392429	33.0826000956	10.677
25	0	0	1	232	14	18.8971600988	29.2791794754	28.3660884719	11.78
25	0	0	2	1575	98	18.8971600988	30.5178494871	29.6047584836	5.905
26	0	0	1	902	56	18.7550720888	29.9354030707	29.0291776111	13.622
26	0	0	2	2245	140	18.7550720888	34.4061013594	33.4998758999	12.315
27	0	0	1	471	29	14.7873014253	28.0365676484	27.3220607158	9.842
27	0	0	2	1817	113	14.7873014253	30.4596836633	29.7451767306	10.992
28	0	0	1	469	29	16.6850815486	26.8785525172	26.0723468346	14.126
28	0	0	2	1815	113	16.6850815486	31.1859632004	30.3797575179	12.141
29	0	0	1	224	14	16.6555786149	25.3077443545	24.5029642228	7.59
29	0	0	2	1566	97	16.6555786149	28.8540629259	28.0492827942	10.661
30	0	0	1	513	32	10.4471749335	32.9540906905	32.4492941288	11.118
30	0	0	2	1861	116	10.4471749335	32.9604821621	32.4556856004	11.528
31	0	0	1	934	58	20.3287764427	30.979264137	29.9969989296	8.094
31	0	0	2	2278	142	20.3287764427	28.9776262418	27.9953610345	13.197
