3573,31.6721,31.9134,31.6674,31.7042
3575,31.7319,31.7981,31.8241,31.8134
3602,34.6951,34.947,34.9439,34.9063
3603,35.277,34.8859,34.8615,34.9959
3604,42.4386,34.5736,34.8914,34.9996
3648,34.8517,34.9996,34.8068,34.7182
3682,34.4021,34.3864,34.3242,34.3086
3685,34.0265,34.3426,34.1757,34.2101
3686,34.4998,34.4941,34.4394,34.4514
3694,34.725,34.6813,34.6282,34.5837
3757,34.1437,34.4324,34.2139,34.1897
3758,34.5009,34.6264,34.5836,34.5481
3786,34.5191,34.5456,34.4419,34.4067
3788,34.6935,34.9847,34.8494,34.7954
3844,34.1563,34.405,34.3121,34.2383
3845,34.2519,34.4748,34.2888,34.2947
3846,34.2524,34.3407,34.266,34.1984
4003,34.6493,34.5785,34.4362,34.4051
4006,34.2396,34.4259,34.4795,34.4034
4344,40.7046,40.7872,40.9396,40.7874
4345,40.1511,40.4654,40.6646,40.4544
4400,41.6178,41.9459,41.6407,41.503
4722,42.0099,41.9909,41.8972,41.7906
4735,40.222,40.7826,40.8156,40.6938
4926,43.8436,41.3425,40.8236,40.0656
4929,43.1422,38.5703,40.2824,39.6818
4985,29.7017,40.543,39.684,39.794
5066,41.3906,40.9109,41.0506,40.8249
5068,40.2083,40.0638,40.9044,40.5184
5290,39.3202,40.3354,40.3311,40.1541
5292,40.4315,39.7999,39.8546,39.6399
5294,39.2889,39.7826,39.8828,39.4373
5423,38.8044,38.3839,39.8317,39.6638
5710,31.5183,31.3311,31.2507,31.2072
5722,31.8737,31.8729,31.6036,31.4803
5723,32.0181,31.9507,31.6997,31.6375
5724,31.8533,31.6281,31.5234,31.4101
5726,31.6996,30.7963,31.7317,31.5975
5794,36.709,31.9315,31.9062,31.7109
5795,37.3922,31.6322,32.06,31.5999
5976,28.5081,33.1162,29.9971,28.6054
5979,27.54,25.405,27.6892,29.1109
5992,28.9437,29.4067,28.3461,28.8826
5795,37.3922,31.6322,32.06,31.5999
3573,31.6721,31.9134,31.6674,31.7042
