# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts:  (loaded 0)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
79 4 9 0 0 unused nan -4.08581 nan nan nan 0 0 -1 "known unused pixel"
80 5 10 9 0 group_fallback nan -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 -1 "insufficient individual entries"
81 5 10 5 0 group_fallback nan -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 -1 "insufficient individual entries"
82 5 10 30 0 group_fallback nan -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 -1 "insufficient individual entries"
83 5 10 0 0 unused nan -5.08706 nan nan nan 0 0 -1 "known unused pixel"
84 5 10 18 0 group_fallback nan -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 -1 "insufficient individual entries"
85 5 10 2 0 group_fallback nan -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 -1 "insufficient individual entries"
86 5 10 45 0 group_fallback 7.99242 -5.08706 -5.08706 0.826233 3.87245 3.84138 3.84138 0 "individual constrained fit failed quality criteria"
87 5 10 40 0 individual_fit -2.18641 -5.08706 -2.18644 0.670971 1.9585 6.742 6.742 0 "valid constrained fit"
88 5 11 4 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
89 5 11 2 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
90 5 11 1 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
91 5 11 2 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
92 5 11 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
93 5 11 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
94 5 11 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
95 5 11 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
96 6 12 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
97 6 12 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
98 6 12 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
99 6 12 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
100 6 12 10 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
101 6 12 63 0 individual_broad_fallback 0.167141 nan 0.167141 0.469159 2.47089 9.09558 9.09558 0 "valid broad individual fit after invalid group fit"
102 6 12 20 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
103 6 12 1 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
104 6 13 18 0 group_fallback nan -1.46287 -1.46287 0.208543 2.75362 7.46556 7.46556 -1 "insufficient individual entries"
105 6 13 70 0 individual_fit 1.50737 -1.46287 -0.844291 0.689637 0.767425 8.08415 8.08415 0 "valid constrained fit"
106 6 13 79 0 group_fallback -1.51751 -1.46287 -1.46287 0.208543 2.75362 7.46556 7.46556 0 "individual constrained fit failed quality criteria"
107 6 13 32 0 group_fallback nan -1.46287 -1.46287 0.208543 2.75362 7.46556 7.46556 -1 "insufficient individual entries"
108 6 13 49 0 group_fallback 0.800193 -1.46287 -1.46287 0.208543 2.75362 7.46556 7.46556 0 "individual constrained fit failed quality criteria"
109 6 13 0 0 unused nan -1.46287 nan nan nan 0 0 -1 "known unused pixel"
110 6 13 73 0 group_fallback -3.31417 -1.46287 -1.46287 0.208543 2.75362 7.46556 7.46556 0 "individual constrained fit failed quality criteria"
111 6 13 0 0 unused nan -1.46287 nan nan nan 0 0 -1 "known unused pixel"
112 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
113 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
114 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
115 7 14 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
116 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
117 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
118 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
119 7 14 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
120 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
121 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
122 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
123 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
124 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
125 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
126 7 15 0 0 unavailable nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
127 7 15 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
128 8 16 13 0 group_fallback nan -5.31694 -5.31694 0.119546 2.04431 3.6115 3.6115 -1 "insufficient individual entries"
129 8 16 47 0 group_fallback -6.32833 -5.31694 -5.31694 0.119546 2.04431 3.6115 3.6115 0 "individual constrained fit failed quality criteria"
130 8 16 41 0 individual_fit -4.62002 -5.31694 -4.68793 0.298883 0.526702 4.24051 4.24051 0 "valid constrained fit"
131 8 16 12 0 group_fallback nan -5.31694 -5.31694 0.119546 2.04431 3.6115 3.6115 -1 "insufficient individual entries"
132 8 16 58 0 individual_fit -4.60935 -5.31694 -3.39974 1.50217 2.65677 5.52869 5.52869 0 "valid constrained fit"
133 8 16 46 0 individual_fit -5.8792 -5.31694 -5.82223 0.397884 1.06851 3.10621 3.10621 0 "valid constrained fit"
134 8 16 63 0 group_fallback -3.99001 -5.31694 -5.31694 0.119546 2.04431 3.6115 3.6115 0 "individual constrained fit failed quality criteria"
135 8 16 64 0 individual_fit -6.50672 -5.31694 -6.36248 0.612406 1.21246 2.56596 2.56596 0 "valid constrained fit"
136 8 17 153 0 group_fallback -4.03896 -5.3255 -5.3255 0.0934795 2.08637 3.60294 3.60294 0 "individual constrained fit failed quality criteria"
137 8 17 125 0 individual_fit -5.89608 -5.3255 -5.49711 0.535507 1.77187 3.43132 3.43132 0 "valid constrained fit"
138 8 17 95 0 individual_fit -5.30286 -5.3255 -5.1468 0.291139 1.31681 3.78163 3.78163 0 "valid constrained fit"
139 8 17 161 0 individual_fit -4.70475 -5.3255 -4.28926 0.404609 1.6533 4.63918 4.63918 0 "valid constrained fit"
140 8 17 0 0 unused nan -5.3255 nan nan nan 0 0 -1 "known unused pixel"
141 8 17 137 0 individual_fit -6.22205 -5.3255 -5.55812 0.201608 0.804446 3.37032 3.37032 0 "valid constrained fit"
142 8 17 12 0 group_fallback nan -5.3255 -5.3255 0.0934795 2.08637 3.60294 3.60294 -1 "insufficient individual entries"
143 8 17 0 0 unused nan -5.3255 nan nan nan 0 0 -1 "known unused pixel"
144 9 18 64 0 individual_fit -4.23635 -6.47188 -4.21657 0.265431 0.627942 4.71187 4.71187 0 "valid constrained fit"
145 9 18 0 0 unused nan -6.47188 nan nan nan 0 0 -1 "known unused pixel"
146 9 18 12 0 group_fallback nan -6.47188 -6.47188 0.25516 2.50828 2.45655 2.45655 -1 "insufficient individual entries"
147 9 18 0 0 group_fallback nan -6.47188 -6.47188 0.25516 2.50828 2.45655 2.45655 -1 "insufficient individual entries"
148 9 18 52 0 individual_fit -5.57682 -6.47188 -5.57228 0.431368 1.58395 3.35616 3.35616 0 "valid constrained fit"
149 9 18 32 0 group_fallback nan -6.47188 -6.47188 0.25516 2.50828 2.45655 2.45655 -1 "insufficient individual entries"
150 9 18 22 0 group_fallback nan -6.47188 -6.47188 0.25516 2.50828 2.45655 2.45655 -1 "insufficient individual entries"
151 9 18 18 0 group_fallback nan -6.47188 -6.47188 0.25516 2.50828 2.45655 2.45655 -1 "insufficient individual entries"
152 9 19 69 0 individual_fit -5.88179 -6.35823 -5.81809 0.360665 1.23448 3.11035 3.11035 0 "valid constrained fit"
153 9 19 180 0 group_fallback -6.2099 -6.35823 -6.35823 0.0513857 2.02814 2.57021 2.57021 0 "individual constrained fit failed quality criteria"
