event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	441	27	8.77728926061	30.1781270241	28.7892459618	5.197
0	0	0	2	1788	111	8.77728926061	32.7631122442	31.3742311819	8.189
1	0	0	1	430	26	1.67301975401	25.1980173028	24.9332857457	10.662
1	0	0	2	1775	110	1.67301975401	25.0728538583	24.8081223012	14.221
2	0	0	1	507	31	8.22206946853	34.5031446395	33.2021192045	16.756
2	0	0	2	1860	116	8.22206946853	32.6803226306	31.3792971957	11.653
3	0	0	1	456	28	11.6175616551	31.186045692	29.3477319605	10.646
3	0	0	2	1802	112	11.6175616551	31.1869464265	29.348632695	13.937
4	0	0	1	292	18	8.07874511359	32.9419916889	31.6636452926	10.74
4	0	0	2	1635	102	8.07874511359	28.7610458725	27.4826994762	14.535
5	0	0	1	292	18	7.99127927559	27.8108763584	26.5463701857	9.969
5	0	0	2	1635	102	7.99127927559	25.9280974058	24.6635912331	13.355
6	0	0	1	510	31	14.3767723015	27.6698052721	25.3948857389	17.292
6	0	0	2	1860	116	14.3767723015	30.373474257	28.0985547239	11.748
7	0	0	1	977	61	-1.57154453608	28.3462783137	28.5949528623	15.023
7	0	0	2	2319	144	-1.57154453608	29.3086752812	29.5573498298	4.834
8	0	0	1	292	18	5.5619039722	29.9052197997	29.0251276815	12.693
8	0	0	2	1634	102	5.5619039722	27.5328012066	26.6527090884	14.819
9	0	0	1	133	8	18.4847008135	34.7180777218	31.7931369866	11.905
9	0	0	2	1475	92	18.4847008135	36.91440552	33.9894647849	11.008
10	0	0	1	429	26	13.94922765	32.2618242795	30.0545576005	12.189
10	0	0	2	1774	110	13.94922765	32.1374843168	29.9302176378	15.527
11	0	0	1	523	32	5.69593870859	27.9208150169	27.0195138099	9.181
11	0	0	2	1869	116	5.69593870859	25.6863699327	24.7850687257	9.559
12	0	0	1	164	10	8.55792741883	26.4536152949	25.099445121	7.968
12	0	0	2	1506	94	8.55792741883	24.9279095058	23.5737393318	5.15
13	0	0	1	276	17	8.46333848041	26.5807170826	25.2415142615	16.74
13	0	0	2	1620	101	8.46333848041	25.4437910541	24.104588233	18.976
14	0	0	1	144	9	14.1151932832	30.5357690888	28.3022407112	9.905
14	0	0	2	1483	92	14.1151932832	35.6093286146	33.375800237	13.433
16	0	0	1	521	32	2.87052946208	25.8538782105	25.3996577911	10.126
16	0	0	2	1869	116	2.87052946208	27.3989247242	26.9447043049	12.221
17	0	0	1	139	8	17.9611358306	31.8564769912	29.0143829606	9.843
17	0	0	2	1481	92	17.9611358306	29.8203802157	26.978286185	16.41
17	1	0	1	138	8	17.9611358306	32.7877250936	29.9456310629	11.559
17	1	0	2	1479	92	17.9611358306	27.0384995545	24.1964055239	14.283
18	0	0	1	524	32	-4.04545188235	31.9477128144	32.5878479793	12.756
18	0	0	2	1872	117	-4.04545188235	31.2936961266	31.9338312915	6.787
19	0	0	1	133	8	9.67663751434	28.6517943065	27.1206041872	15.338
19	0	0	2	1473	92	9.67663751434	29.9746380361	28.4434479168	17.276
20	0	0	1	520	32	14.38986301	22.6536668351	20.3766758837	9.544
20	0	0	2	1867	116	14.38986301	27.03113262	24.7541416686	5.78
21	0	0	1	226	14	-4.30382194207	28.106683241	28.7877017894	9.591
21	0	0	2	1569	98	-4.30382194207	29.0541173649	29.7351359133	11.433
22	0	0	1	522	32	5.88088029447	28.3513060485	27.4207404686	6.284
22	0	0	2	1869	116	5.88088029447	26.1660958853	25.2355303054	8.63
23	0	0	1	521	32	7.39035904358	27.2752425444	26.105823443	9.622
23	0	0	2	1869	116	7.39035904358	28.1612715245	26.9918524232	14.661
24	0	0	1	510	31	2.26769489014	26.4579954919	26.099165061	21.055
24	0	0	2	1859	116	2.26769489014	29.0259816382	28.6671512072	19.591
25	0	0	1	142	8	18.0479462352	35.3362366147	32.4804060734	7.181
25	0	0	2	1483	92	18.0479462352	35.478709405	32.6228788637	13.338
26	0	0	1	509	31	-2.43866682024	27.5507038059	27.9365881106	6.63
26	0	0	2	1858	116	-2.43866682024	27.1682415976	27.5541259024	6.834
27	0	0	1	131	8	13.5006983532	35.8582023109	33.7219090074	10.095
27	0	0	2	1477	92	13.5006983532	35.3915204247	33.2552271212	17.937
28	0	0	1	457	28	10.909427422	31.1151933478	29.3889317769	9.937
28	0	0	2	1802	112	10.909427422	31.8205772518	30.0943156809	10.96
