event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
1	0	0	1	1218	76	20.2846248424	27.4939891787	29.4587382051	5.937
1	0	0	2	2569	160	20.2846248424	26.6948425761	28.6595916025	13.622
2	0	0	1	1227	76	20.9262325456	29.8071200013	31.8340145256	11.465
2	0	0	2	2579	161	20.9262325456	30.0329927861	32.0598873104	13.528
3	0	0	1	433	27	20.5134888955	32.5505428208	34.5374593968	4.378
3	0	0	2	1781	111	20.5134888955	31.0123113163	32.9992278922	8.535
4	0	0	1	250	15	29.5412862015	5.63119282856	8.49253306797	9.874
4	0	0	2	1591	99	29.5412862015	6.93542195427	9.79676219368	10.693
5	0	0	1	1218	76	18.6675209256	31.4203235113	33.2284414257	8.032
5	0	0	2	2567	160	18.6675209256	32.0335313165	33.8416492308	16
6	0	0	1	933	58	31.3222604769	25.0509805467	28.0848242217	17.842
6	0	0	2	2277	142	31.3222604769	25.7078774921	28.7417211671	13.591
7	0	0	1	571	35	29.9836163419	25.1847675343	28.0889514408	11.591
7	0	0	2	1921	120	29.9836163419	29.7781048904	32.6822887968	7.103
8	0	0	1	116	7	23.5932495689	28.3524358874	30.6376550857	9.103
8	0	0	2	1457	91	23.5932495689	35.1518974079	37.4371166062	16.393
9	0	0	1	529	33	18.5667284801	28.9791347037	30.7774899599	7.165
9	0	0	2	1878	117	18.5667284801	32.2036287814	34.0019840376	8
10	0	0	1	519	32	19.4888026912	31.4072569891	33.2949234563	6.536
10	0	0	2	1867	116	19.4888026912	32.6560301554	34.5436966225	9.559
11	0	0	1	965	60	21.7988469291	33.102168324	35.2135834285	7.118
11	0	0	2	2310	144	21.7988469291	30.8228513174	32.9342664219	6.158
12	0	0	1	551	34	24.5890977617	27.1655524156	29.547228501	8.063
12	0	0	2	1899	118	24.5890977617	26.6320969502	29.0137730355	14.158
13	0	0	1	291	18	22.7886681891	26.0841798335	28.2914680621	6.031
13	0	0	2	1634	102	22.7886681891	25.1690530245	27.3763412532	12.536
14	0	0	1	259	16	25.1553627407	27.8797211354	30.3162450957	8.095
14	0	0	2	1602	100	25.1553627407	27.6479297067	30.0844536669	6.851
15	0	0	1	984	61	25.9107319884	29.6816915351	32.1913798258	6.032
15	0	0	2	2330	145	25.9107319884	34.089304707	36.5989929976	7.244
16	0	0	1	1047	65	23.3571989946	47.9352494653	50.1976050346	11.402
16	0	0	2	2399	149	23.3571989946	34.5308080759	36.7931636452	16
17	0	0	1	263	16	20.0576944687	29.2068950468	31.149663818	17.024
17	0	0	2	1607	100	20.0576944687	26.4368420056	28.3796107768	18.189
18	0	0	1	1010	63	21.765694244	28.7028271112	30.8110310788	7.811
18	0	0	2	2356	147	21.765694244	32.1450347801	34.2532387478	9.685
19	0	0	1	1246	77	22.368981502	29.9960420187	32.1626798031	5.181
19	0	0	2	2596	162	22.368981502	30.1116651668	32.2783029513	11.465
20	0	0	1	214	13	23.2139217891	30.8179143898	33.0663922684	5.843
20	0	0	2	1558	97	23.2139217891	31.4328519007	33.6813297793	11.103
21	0	0	1	870	54	34.3516159269	30.3671218641	33.6943859605	15.874
21	0	0	2	2212	138	34.3516159269	31.5885356552	34.9157997516	15.905
22	0	0	1	529	33	18.121900925	28.1668244816	29.9220941736	12.393
22	0	0	2	1879	117	18.121900925	27.0534507977	28.8087204897	6.315
23	0	0	1	1213	75	19.6911012048	30.3043887424	32.2116496468	5.811
