# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid individual centroids
# manual LE-versus-TOT cuts: CDet_run5710_halfbar_aligned_final_archive/CDet_pixel_quality_cuts_run5710_halfbar_aligned_final.root (loaded 102)
# pixel bar group entries manual_2d_cut source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
60 3 7 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
61 3 7 0 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
62 3 7 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
63 3 7 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
64 4 8 4 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
65 4 8 0 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
66 4 8 4 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
67 4 8 8 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
68 4 8 6 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
69 4 8 3 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
70 4 8 6 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
71 4 8 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid group fit and insufficient individual entries"
72 4 9 38 0 individual_fit -5.89745 -7.19952 -7.22547 0.319922 0.734987 -0.0662403 6.42423 0 "valid constrained fit"
73 4 9 36 0 group_fallback -6.52068 -7.19952 -7.19952 0.180491 2.5083 -0.0402888 6.59342 0 "individual constrained fit failed quality criteria"
74 4 9 47 0 individual_fit -8.26044 -7.19952 -8.48663 0.386183 1.01479 -1.3274 5.0497 0 "valid constrained fit"
75 4 9 39 1 manual_2d_fit -11.5085 -7.19952 -13.9931 1.3076 3.95342 -6.83386 1.176 0 "valid fit seeded from manually selected two-dimensional population"
76 4 9 49 0 group_fallback -7.25561 -7.19952 -7.19952 0.180491 2.5083 -0.0402888 6.59342 0 "individual constrained fit failed quality criteria"
77 4 9 41 0 individual_fit -5.90968 -7.19952 -6.02657 0.508524 1.40185 1.13265 7.76636 0 "valid constrained fit"
78 4 9 41 0 individual_fit -6.52822 -7.19952 -6.66657 0.512254 1.21334 0.492658 5.77717 0 "valid constrained fit"
