3573,399523
3575,736900
3602,766620
3603,795894
3604,824364
3648,885014
3682,1107589
3685,1209820
3686,1372035
3694,1431989
3757,1673028
3758,1789605
3786,2071463
3788,2308958
3844,2642562
3845,3028197
3846,3967847
4003,4062290
4006,4118086
4344,4158384
4345,4212231
4400,4589714
4722,4642009
4735,4745022
4926,4780998
4929,4811483
4985,4836885
5066,4952704
5068,5076927
5290,5103043
5292,5164687
5294,5221560
5423,5323726
5710,8275617
5722,8382014
5723,8659309
5724,8710412
5726,8763699
5794,8790032
5795,8821850
5976,9764022
5979,9940049
5992,11006457
5795,11038275
5710,2951891
