event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	1275	79	18.5152802956	31.3722202516	30.7265679536	9.496
0	0	0	2	2624	164	18.5152802956	32.4067329781	31.7610806801	9.717
1	0	0	1	802	50	21.8072137697	29.8130838919	29.0526375223	19.874
1	0	0	2	2151	134	21.8072137697	27.9685338256	27.2080874559	10
2	0	0	1	534	33	17.825758174	31.2303230741	30.6087153239	19.024
2	0	0	2	1883	117	17.825758174	30.9116054638	30.2899977136	12.866
3	0	0	1	905	56	26.6614091278	32.7295364691	31.7998178909	12.094
3	0	0	2	2247	140	26.6614091278	30.2375383141	29.3078197359	8.252
4	0	0	1	1255	78	22.2668240133	30.6089788728	29.8325052864	10.567
4	0	0	2	2601	162	22.2668240133	31.2253048976	30.4488313113	17.37
5	0	0	1	1064	66	21.5253369397	28.496316371	27.745699419	7.338
5	0	0	2	2412	150	21.5253369397	29.7726028645	29.0219859125	17.023
6	0	0	1	155	9	24.9793750333	30.2024315723	29.3313677463	11.402
6	0	0	2	1496	93	24.9793750333	26.5895604432	25.7184966172	11.559
7	0	0	1	1048	65	26.6487010184	31.446638707	30.5173632774	8.409
7	0	0	2	2399	149	26.6487010184	32.7113080298	31.7820326002	10.63
8	0	0	1	348	21	20.6999709303	27.6084106812	26.886575333	10.063
8	0	0	2	1691	105	20.6999709303	27.6009170569	26.8790817087	6.41
9	0	0	1	1254	78	22.1639141415	28.4949464953	27.7220615122	6.756
9	0	0	2	2603	162	22.1639141415	29.4941109856	28.7212260025	15.559
10	0	0	1	433	27	21.2902619161	30.3820453923	29.6396258171	4.63
10	0	0	2	1783	111	21.2902619161	30.5410572154	29.7986376402	5.905
11	0	0	1	429	26	21.9539468587	28.0746562176	27.3090930712	6.299
11	0	0	2	1775	110	21.9539468587	28.1666079005	27.4010447541	13.843
12	0	0	1	538	33	22.5494658554	27.5797255673	26.7933958863	7.496
12	0	0	2	1888	118	22.5494658554	27.4253079288	26.6389782479	12.126
13	0	0	1	489	30	24.880322982	23.6268018972	22.7591921472	14.535
13	0	0	2	1835	114	24.880322982	26.4618977564	25.5942880064	10.96
14	0	0	1	1250	78	18.5983855831	26.475778718	25.8272284288	4.094
14	0	0	2	2600	162	18.5983855831	29.2677920264	28.6192417371	21.622
15	0	0	1	1248	78	22.7315847003	27.7944154464	27.0017350406	7.622
15	0	0	2	2598	162	22.7315847003	30.1260666612	29.3333862554	17.276
16	0	0	1	157	9	24.7279319984	30.5655753559	29.7032796809	5.969
16	0	0	2	1497	93	24.7279319984	29.5387928848	28.6764972098	21.905
17	0	0	1	572	35	23.6026880476	31.2060314847	30.3829745537	5.654
17	0	0	2	1926	120	23.6026880476	31.9010711984	31.0780142674	9.275
18	0	0	1	473	29	20.5383952981	30.1455417285	29.4293407361	11.464
18	0	0	2	1818	113	20.5383952981	30.5610950804	29.8448940881	9.307
19	0	0	1	409	25	19.2568899228	30.9402587041	30.2687454981	24.851
19	0	0	2	1755	109	19.2568899228	31.3199557953	30.6484425893	7.653
20	0	0	1	778	48	24.2972451593	29.581413313	28.7341362574	6.063
20	0	0	2	2118	132	24.2972451593	33.0459904773	32.1987134218	8.677
21	0	0	1	1248	78	23.3833944975	27.3486858399	26.5332759648	5.842
21	0	0	2	2598	162	23.3833944975	29.1023035747	28.2868936997	16.252
22	0	0	1	170	10	25.9275209697	28.9284388697	28.0243119416	11.969
22	0	0	2	1513	94	25.9275209697	28.8316747068	27.9275477787	18.126
23	0	0	1	1273	79	21.4992301587	27.1336545186	26.3839479446	13.338
23	0	0	2	2624	164	21.4992301587	28.6130687968	27.8633622228	13.59
24	0	0	1	486	30	23.520763184	30.5107788983	29.6905787956	10.85
24	0	0	2	1831	114	23.520763184	31.134293412	30.3140933093	11.748
25	0	0	1	1240	77	25.1096499497	31.2037550741	30.3281483896	10.126
25	0	0	2	2589	161	25.1096499497	31.8154270218	30.9398203373	10.913
26	0	0	1	350	21	22.4676623735	30.127699938	29.3442228525	6.536
26	0	0	2	1694	105	22.4676623735	27.0921675556	26.3086904701	4.504
27	0	0	1	1268	79	27.0272290881	30.1880367958	29.2455615921	7.811
27	0	0	2	2618	163	27.0272290881	31.651577245	30.7091020412	12.063
28	0	0	1	916	57	26.5759904757	29.9387762928	29.0120363759	13.685
28	0	0	2	2258	141	26.5759904757	31.370179963	30.4434400461	4.283
29	0	0	1	432	27	25.4983141528	29.0725592963	28.1833993773	4.283
29	0	0	2	1779	111	25.4983141528	31.2775238826	30.3883639636	13.307
30	0	0	1	1237	77	21.4963428032	32.2484425216	31.4988366335	9.559
30	0	0	2	2587	161	21.4963428032	30.5828624475	29.8332565594	6.189
31	0	0	1	490	30	17.4691203182	31.297951758	30.6887804413	12.882
31	0	0	2	1834	114	17.4691203182	29.0644778841	28.4553065673	11.008
32	0	0	1	440	27	19.8895582976	28.4556278179	27.7620526294	5.134
32	0	0	2	1785	111	19.8895582976	28.6727801981	27.9792050096	4.347
33	0	0	1	471	29	21.5359010327	29.1037593064	28.3527739705	7.102
33	0	0	2	1818	113	21.5359010327	31.2054804229	30.4544950871	11.843
34	0	0	1	919	57	26.4632529001	30.0349767019	29.1121680933	12.945
34	0	0	2	2261	141	26.4632529001	29.7553834303	28.8325748217	5.307
35	0	0	1	802	50	22.088578165	35.2457924686	34.4755345506	8.661
35	0	0	2	2155	134	22.088578165	31.0436610456	30.2734031276	5.968
36	0	0	1	520	32	21.0905368516	29.6111964203	28.8757415221	8.74
36	0	0	2	1866	116	21.0905368516	28.9239913681	28.1885364699	6.267
37	0	0	1	431	26	19.3076400077	29.9133410483	29.2400581198	9.528
37	0	0	2	1777	111	19.3076400077	34.7022591226	34.0289761941	5.559
38	0	0	1	453	28	20.3704660839	34.5714664789	33.8611214002	9.512
38	0	0	2	1800	112	20.3704660839	32.8743345625	32.1639894838	7.339
39	0	0	1	1048	65	25.0463375962	34.8362173026	33.9628184036	7.402
39	0	0	2	2401	150	25.0463375962	29.771638995	28.898240096	23.622
40	0	0	1	417	26	22.5205671356	44.0752480773	43.2899261329	23.748
40	0	0	2	1779	111	22.5205671356	29.1764761395	28.391154195	9.968
41	0	0	1	1233	77	21.5872564454	35.4091623409	34.6563861739	5.26
41	0	0	2	2583	161	21.5872564454	32.6683033172	31.9155271502	10.929
42	0	0	1	1022	63	25.9391354877	30.8922831272	29.9877511856	19.716
42	0	0	2	2370	148	25.9391354877	23.6892114343	22.7846794927	14.126
43	0	0	1	491	30	22.0091897176	29.4918586007	28.7243690628	11.638
43	0	0	2	1834	114	22.0091897176	29.8515412243	29.0840516864	12.41
44	0	0	1	1057	66	26.7330012847	26.9595456541	26.0273305628	8.095
44	0	0	2	2403	150	26.7330012847	26.5517268206	25.6195117293	20.126
45	0	0	1	1062	66	24.0788326649	28.0115123696	27.1718516464	4.315
45	0	0	2	2410	150	24.0788326649	30.8983314467	30.0586707235	7.968
46	0	0	1	247	15	22.2284803151	29.7495497583	28.9744132674	6.488
46	0	0	2	1589	99	22.2284803151	32.4069430842	31.6318065933	5.843
47	0	0	1	494	30	19.5050567837	28.2967762722	27.6166091597	4.189
47	0	0	2	1840	115	19.5050567837	29.7322430634	29.0520759509	7.039
48	0	0	1	478	29	21.840252916	33.5576140015	32.7960155132	9.717
48	0	0	2	1827	114	21.840252916	28.2171775439	27.4555790555	6.063
49	0	0	1	415	25	23.1814006659	26.5233236588	25.7149575757	7.748
49	0	0	2	1762	110	23.1814006659	29.0500842695	28.2417181863	5.292
50	0	0	1	903	56	27.8307669661	29.7846371009	28.8141414692	11.653
50	0	0	2	2245	140	27.8307669661	30.3229008543	29.3524052226	8.63
51	0	0	1	1239	77	18.4558063794	30.6594898842	30.0159115203	6.221
51	0	0	2	2589	161	18.4558063794	30.1757850687	29.5322067047	12.473
52	0	0	1	1003	62	29.235520167	32.0807765409	31.0612953082	7.433
52	0	0	2	2350	146	29.235520167	30.030179999	29.0106987663	6.032
53	0	0	1	1250	78	22.6557545217	31.5991823546	30.8091462473	6.126
53	0	0	2	2599	162	22.6557545217	30.0162663065	29.2262301992	21.874
54	0	0	1	519	32	21.5661529611	28.8023132973	28.0502730368	5.685
54	0	0	2	1866	116	21.5661529611	32.0941091	31.3420688394	13.244
55	0	0	1	1237	77	21.0376976212	32.0502968236	31.3166844993	9.418
55	0	0	2	2585	161	21.0376976212	31.1769484171	30.4433360928	8.126
56	0	0	1	1286	80	23.2278183081	31.3077012143	30.4977164866	11.228
56	0	0	2	2637	164	23.2278183081	30.8898485076	30.0798637799	8.866
57	0	0	1	472	29	20.7120086194	32.9714263796	32.2491712612	26.709
57	0	0	2	1817	113	20.7120086194	32.2216336602	31.4993785418	10.819
58	0	0	1	1251	78	22.5198236869	29.1247254888	28.3394294694	7.842
58	0	0	2	2598	162	22.5198236869	32.057737434	31.2724414146	24.063
59	0	0	1	1242	77	21.9745439005	25.6303067373	24.8640253448	12.96
59	0	0	2	2593	162	21.9745439005	27.7674726084	27.001191216	6.693
60	0	0	1	154	9	26.7114748009	32.8929285631	31.9614641287	10.315
60	0	0	2	1495	93	26.7114748009	30.5402486383	29.6087842039	17.969
61	0	0	1	488	30	20.5356604036	31.3494534547	30.6333478317	6.945
61	0	0	2	1833	114	20.5356604036	26.8456829387	26.1295773157	9.874
63	0	0	1	470	29	18.5201181209	28.8304359295	28.1846149301	10.284
63	0	0	2	1817	113	18.5201181209	27.9698341125	27.3240131132	4.189
64	0	0	1	456	28	18.2140075992	39.7055568441	39.0704103232	6.772
64	0	0	2	1801	112	18.2140075992	39.8057172144	39.1705706935	12.126
64	1	0	1	471	29	18.2140075992	30.04568753	29.4105410091	7.638
64	1	0	2	1817	113	18.2140075992	27.1159562776	26.4808097568	11.055
65	0	0	1	1240	77	22.3799729525	30.7257118851	29.9452926457	8.598
65	0	0	2	2589	161	22.3799729525	34.59426676	33.8138475206	12.693
66	0	0	1	1279	79	25.0159436766	32.2765292037	31.4041901808	10.929
66	0	0	2	2627	164	25.0159436766	33.3480498571	32.4757108342	8.52
67	0	0	1	1000	62	23.0351935091	40.8647730257	40.0615053793	5.023
67	0	0	2	2341	146	23.0351935091	29.7868637908	28.9835961445	7.685
68	0	0	1	184	11	26.1365848729	30.9927038082	30.0812865455	9.685
68	0	0	2	1528	95	26.1365848729	29.9014167624	28.9899994997	18.252
69	0	0	1	1269	79	26.0424304123	29.3904983778	28.4823644056	9.842
69	0	0	2	2618	163	26.0424304123	31.0128337964	30.1046998242	6.96
70	0	0	1	1001	62	22.121776211	28.179156195	27.4077406172	9.181
70	0	0	2	2347	146	22.121776211	28.3853335588	27.6139179811	16.221
71	0	0	1	486	30	24.3761949317	34.062324106	33.2122939675	6.74
71	0	0	2	1831	114	24.3761949317	34.4199518129	33.5699216744	6.441
72	0	0	1	481	30	17.4828431624	29.6641920589	29.0545422084	25.874
72	0	0	2	1826	114	17.4828431624	27.8359030048	27.2262531543	4.252
73	0	0	1	1024	64	17.8883278643	24.1504656796	23.5266760416	6.221
73	0	0	2	2371	148	17.8883278643	25.2015071096	24.5777174716	16.221
74	0	0	1	230	14	24.5433960213	30.9340178812	30.0781572196	8.032
74	0	0	2	1576	98	24.5433960213	29.2903629943	28.4345023328	6.221
75	0	0	1	1227	76	19.7474979018	27.8773412157	27.1887198609	10.425
75	0	0	2	2578	161	19.7474979018	25.4564074536	24.7677860989	7.244
76	0	0	1	467	29	21.3544085664	29.6776493491	28.9329928954	6.063
76	0	0	2	1813	113	21.3544085664	32.1659409024	31.4212844488	5.275
77	0	0	1	490	30	24.2400213483	32.1540551569	31.3087735712	9.937
77	0	0	2	1835	114	24.2400213483	31.9292853965	31.0840038109	10.22
78	0	0	1	378	23	28.1370038033	31.0562824272	30.0751079122	4.771
78	0	0	2	1723	107	28.1370038033	29.9070590143	28.9258844993	7.402
79	0	0	1	491	30	19.1591095002	30.729666751	30.0615632776	16.693
79	0	0	2	1837	114	19.1591095002	30.782419506	30.1143160326	7.78
80	0	0	1	449	28	22.6279073523	29.16881993	28.3797548904	19.149
80	0	0	2	1796	112	22.6279073523	29.1899554873	28.4008904476	7.937
81	0	0	1	182	11	22.5464670255	29.7670719759	28.9808468681	7.842
81	0	0	2	1525	95	22.5464670255	28.9322487694	28.1460236616	5.37
82	0	0	1	1265	79	23.7377	30.9745686596	30.1468036833	8.346
82	0	0	2	2614	163	23.7377	30.0247449658	29.1969799895	4.63
83	0	0	1	1244	77	23.134468259	30.9130582064	30.1063287183	8.425
83	0	0	2	2594	162	23.134468259	28.3468738197	27.5401443316	15.527
84	0	0	1	1081	67	24.320484966	31.1942527069	30.3461652485	8.819
84	0	0	2	2427	151	24.320484966	32.3112537735	31.4631663151	10.221
85	0	0	1	1270	79	15.6261714286	35.1202204059	34.575315153	5.118
85	0	0	2	2619	163	15.6261714286	32.5301755914	31.9852703385	6.126
86	0	0	1	893	55	28.6908050227	36.8791671454	35.8786808499	12.882
86	0	0	2	2235	139	28.6908050227	35.1670800895	34.1665937939	8.756
87	0	0	1	1268	79	20.6236390158	30.7341243675	30.014950814	6.882
87	0	0	2	2617	163	20.6236390158	30.2704842416	29.5513106882	9.843
88	0	0	1	490	30	24.5886841065	31.5134531638	30.6560132468	13.197
88	0	0	2	1838	114	24.5886841065	31.1343918371	30.2769519202	13.653
89	0	0	1	240	15	23.1362631103	32.0326998018	31.2259077249	9.968
89	0	0	2	1581	98	23.1362631103	31.5850322181	30.7782401412	11.134
90	0	0	1	1218	76	20.2387937209	30.2465373847	29.5407838953	5.04
90	0	0	2	2567	160	20.2387937209	31.1350727439	30.4293192546	14.599
91	0	0	1	1033	64	17.1793768453	44.5847044865	43.9856369077	7.527
91	0	0	2	2372	148	17.1793768453	33.4544893653	32.8554217865	14.709
92	0	0	1	491	30	23.5674269862	27.7562272916	26.9343999604	14
92	0	0	2	1835	114	23.5674269862	27.4250575931	26.6032302619	12.189
93	0	0	1	1237	77	22.0117083592	30.3348918021	29.5673144358	9.559
93	0	0	2	2586	161	22.0117083592	30.250251566	29.4826741997	15.842
94	0	0	1	809	50	22.2354144373	33.2952554324	32.5198771395	6.41
94	0	0	2	2151	134	22.2354144373	33.6880367252	32.9126584323	4.472
95	0	0	1	474	29	18.63010326	32.2511535422	31.6014972156	11.433
95	0	0	2	1818	113	18.63010326	30.9654420252	30.3157856987	9.748
96	0	0	1	1089	68	22.6015920746	29.8154576773	29.0273102862	6.803
96	0	0	2	2438	152	22.6015920746	30.0894200281	29.3012726369	7.118
97	0	0	1	1253	78	23.4861179222	30.4564552951	29.6374633184	8.095
97	0	0	2	2602	162	23.4861179222	29.9279178647	29.1089258881	17.071
98	0	0	1	1268	79	28.0968460741	28.107418844	27.1276446821	6.992
98	0	0	2	2619	163	28.0968460741	28.5234330146	27.5436588527	15.134
99	0	0	1	1063	66	24.2834513851	33.2421460656	32.3953500171	10.599
99	0	0	2	2411	150	24.2834513851	29.9628988036	29.1161027551	16.645
100	0	0	1	534	33	16.0168772987	29.2317878736	28.6732581906	10.771
100	0	0	2	1879	117	16.0168772987	29.1664637808	28.6079340978	9.543
101	0	0	1	488	30	21.5000287758	28.8822567288	28.132522306	7.559
101	0	0	2	1832	114	21.5000287758	30.3168195847	29.5670851619	6.582
102	0	0	1	554	34	21.4231193796	29.1364986753	28.3894461848	5.716
102	0	0	2	1905	119	21.4231193796	26.7758233054	26.0287708149	8
103	0	0	1	163	10	22.0184795628	24.9974940209	24.2296805338	14.535
103	0	0	2	1504	94	22.0184795628	27.2054773102	26.4376638231	5.118
104	0	0	1	1241	77	23.001525398	32.5192705529	31.7171769581	9.717
104	0	0	2	2590	161	23.001525398	29.8141661633	29.0120725685	10.85
105	0	0	1	550	34	15.979595535	29.6080701902	29.0508405716	8.52
105	0	0	2	1895	118	15.979595535	31.3703929278	30.8131633092	10.457
106	0	0	1	1242	77	24.3942268708	28.374851722	27.524192786	9.716
106	0	0	2	2580	161	24.3942268708	26.3925026175	25.5418436815	4.771
107	0	0	1	539	33	20.4886282935	29.9136070194	29.1991414682	12.094
107	0	0	2	1890	118	20.4886282935	28.1708563382	27.4563907871	12.409
108	0	0	1	1264	79	26.8236121108	27.1962687653	26.2608939547	6.567
108	0	0	2	2615	163	26.8236121108	26.7954905331	25.8601157225	12.504
109	0	0	1	1275	79	22.1838870808	30.0703789277	29.2967974619	10.126
109	0	0	2	2625	164	22.1838870808	31.7097730522	30.9361915864	11.622
110	0	0	1	485	30	17.8410260071	30.9311799145	30.3090397548	6.614
110	0	0	2	1829	114	17.8410260071	31.8449451915	31.2228050318	6.992
111	0	0	1	997	62	20.2244630242	29.3097161248	28.6044623658	12.504
111	0	0	2	2343	146	20.2244630242	28.829510489	28.12425673	8.567
112	0	0	1	1268	79	22.4877685156	32.5836383783	31.7994601651	9.496
112	0	0	2	2616	163	22.4877685156	33.4066877274	32.6225095143	13.26
113	0	0	1	491	30	21.2235467093	29.6760269428	28.9359338151	13.244
113	0	0	2	1838	114	21.2235467093	31.3092539465	30.5691608188	8.725
115	0	0	1	432	27	22.5698800909	28.1840869295	27.3970453772	10.567
115	0	0	2	1780	111	22.5698800909	28.5863139817	27.7992724294	10.63
116	0	0	1	1236	77	20.445335905	31.1881911491	30.4752352607	6.126
116	0	0	2	2584	161	20.445335905	30.8433157926	30.1303599043	5.622
117	0	0	1	490	30	21.2060079542	28.4522655492	27.7127840211	13.26
117	0	0	2	1834	114	21.2060079542	27.2714710151	26.5319894869	5.386
118	0	0	1	1264	79	21.8795093962	28.4414899102	27.6785224965	12.63
118	0	0	2	2613	163	21.8795093962	27.5951299219	26.8321625082	5.008
118	1	0	1	1255	78	21.8795093962	37.5245957247	36.761628311	12.725
118	1	0	2	2614	163	21.8795093962	28.7883036725	28.0253362589	14.126
119	0	0	1	1218	76	17.3465553454	28.3524971031	27.747599789	10.378
119	0	0	2	2567	160	17.3465553454	28.1836713548	27.5787740406	10.897
120	0	0	1	1275	79	25.0251215227	30.3116860567	29.4390269902	9.338
120	0	0	2	2625	164	25.0251215227	28.2262992054	27.3536401389	13.78
121	0	0	1	1250	78	19.9117877359	30.506482237	29.8121318786	6.536
121	0	0	2	2600	162	19.9117877359	29.5889290772	28.8945787188	18.252
122	0	0	1	488	30	21.4561668861	26.5313253999	25.7831204991	16.504
122	0	0	2	1833	114	21.4561668861	26.7568555554	26.0086506547	8.189
123	0	0	1	1254	78	19.4048093556	30.9352073271	30.258535975	5.559
123	0	0	2	2602	162	19.4048093556	29.0186046005	28.3419332484	14.378
124	0	0	1	887	55	23.6395846319	31.8217686224	30.9974250587	8.252
124	0	0	2	2218	138	23.6395846319	30.988646505	30.1643029413	12.378
125	0	0	1	1281	80	27.580765089	28.9572033826	27.9954256468	12
125	0	0	2	2630	164	27.580765089	30.9082510538	29.946473318	10.347
126	0	0	1	487	30	17.0315317422	29.4133067679	28.8193947432	5.512
126	0	0	2	1831	114	17.0315317422	30.8197711209	30.2258590962	12.519
127	0	0	1	378	23	22.7680369489	26.1839432482	25.3899917043	8.693
127	0	0	2	1723	107	22.7680369489	26.3971916154	25.6032400715	13.842
128	0	0	1	485	30	18.9531829449	30.5421922923	29.88126975	10.441
128	0	0	2	1831	114	18.9531829449	29.1890442984	28.5281217561	5.559
129	0	0	1	1064	66	21.4980717192	28.9108292338	28.1611630561	9.717
129	0	0	2	2412	150	21.4980717192	29.4906013864	28.7409352088	6.835
130	0	0	1	1269	79	22.8797	31.5148197556	30.7169743735	13.937
130	0	0	2	2619	163	22.8797	29.0942143203	28.2963689381	14.882
131	0	0	1	430	26	23.1497178201	29.6650932841	28.8578320236	8.598
131	0	0	2	1776	111	23.1497178201	29.5152897462	28.7080284858	11.008
132	0	0	1	1042	65	16.8255655249	31.3934740197	30.8067443093	4
132	0	0	2	2388	149	16.8255655249	30.6220695379	30.0353398274	6.898
133	0	0	1	471	29	19.7272146633	25.7636860801	25.0757720288	9.04
133	0	0	2	1817	113	19.7272146633	27.885743006	27.1978289547	11.181
134	0	0	1	1268	79	20.7114804878	32.7451939595	32.0229572577	6.693
134	0	0	2	2618	163	20.7114804878	29.9483495577	29.226112856	4.834
135	0	0	1	1056	66	21.464337695	32.3960039232	31.6475140956	4.457
135	0	0	2	2401	150	21.464337695	32.275943737	31.5274539093	17.811
136	0	0	1	1057	66	28.7617054011	28.1237544624	27.1207957769	11.244
136	0	0	2	2402	150	28.7617054011	29.0245620061	28.0216033206	16.441
137	0	0	1	433	27	25.4274665674	33.6070849557	32.7203955857	7.843
137	0	0	2	1781	111	25.4274665674	31.4571143531	30.5704249831	7.276
138	0	0	1	473	29	20.0175251313	29.1548634473	28.4568258862	8.535
138	0	0	2	1818	113	20.0175251313	29.8624208275	29.1643832664	8.914
139	0	0	1	513	32	17.8853524064	31.8643434435	31.2406575637	5.134
139	0	0	2	1861	116	17.8853524064	32.6326131911	32.0089273112	9.716
140	0	0	1	1090	68	23.2533879467	42.8940383262	42.0831619514	17.212
140	0	0	2	2441	152	23.2533879467	29.9874136002	29.1765372254	6.094
141	0	0	1	1264	79	24.0032611731	31.0080897588	30.1710643134	9.023
141	0	0	2	2614	163	24.0032611731	32.4578549822	31.6208295368	9.968
142	0	0	1	456	28	22.199363593	29.8601778945	29.0860567421	4.441
142	0	0	2	1801	112	22.199363593	31.2059871336	30.4318659813	8.851
143	0	0	1	1265	79	18.7244616474	27.0260667171	26.3731199889	10.976
143	0	0	2	2609	163	18.7244616474	27.9648282737	27.3118815455	17.134
144	0	0	1	1245	77	20.8420734792	29.5708315759	28.8440409239	7.654
144	0	0	2	2597	162	20.8420734792	29.3213032482	28.5945125963	4.898
145	0	0	1	489	30	18.0275782715	32.322653803	31.6940083192	9.969
145	0	0	2	1833	114	18.0275782715	30.2989365815	29.6702910978	15.496
146	0	0	1	467	29	20.7387147802	32.1235298598	31.4003434623	4.536
146	0	0	2	1814	113	20.7387147802	32.3308688326	31.6076824351	9.622
147	0	0	1	1265	79	24.8123767142	32.0124618854	31.1472215115	12.803
147	0	0	2	2615	163	24.8123767142	31.0143680357	30.1491276619	11.465
148	0	0	1	1237	77	23.8178449258	30.3329223859	29.5023626502	7.181
148	0	0	2	2587	161	23.8178449258	29.6450545469	28.8144948112	6.708
150	0	0	1	439	27	22.6649526798	31.629767568	30.8394107088	7.465
150	0	0	2	1783	111	22.6649526798	30.166896344	29.3765394848	12
151	0	0	1	1060	66	22.1703215031	29.4271320887	28.6540236724	5.559
151	0	0	2	2407	150	22.1703215031	26.2037395433	25.4306311271	12.504
152	0	0	1	901	56	29.0929163396	33.4590000477	32.4444915989	7.527
152	0	0	2	2242	140	29.0929163396	29.8278824628	28.8133740141	8.535
153	0	0	1	1224	76	17.2929673274	29.8618867559	29.2588581268	6.267
153	0	0	2	2574	160	17.2929673274	30.6727438397	30.0697152106	10.284
154	0	0	1	430	26	22.1571911829	28.9104997907	28.137849246	18.252
154	0	0	2	1775	110	22.1571911829	29.073501569	28.3008510244	12.598
155	0	0	1	1224	76	17.5200685257	30.473672036	29.8627240879	10.803
155	0	0	2	2574	160	17.5200685257	29.7743182705	29.1633703224	16.22
156	0	0	1	1250	78	22.4553693947	30.2960486449	29.5130002319	7.292
156	0	0	2	2598	162	22.4553693947	31.0422625612	30.2592141482	23.874
156	1	0	1	1248	78	22.4553693947	30.7124272843	29.9293788712	5.622
156	1	0	2	2599	162	22.4553693947	32.4035052185	31.6204568055	13.275
157	0	0	1	521	32	22.2463114752	28.8968108287	28.1210525417	5.685
157	0	0	2	1869	116	22.2463114752	29.6205641953	28.8448059083	8.882
158	0	0	1	1061	66	26.3596559442	29.810101982	28.8909059362	9.59
158	0	0	2	2413	150	26.3596559442	29.5564771306	28.6372810847	13.842
