event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	1220	76	24.1998309525	29.0445077248	31.8099022385	4.551
0	0	0	2	2571	160	24.1998309525	28.9078077345	31.6732022483	8.441
1	0	0	1	1245	77	16.4310013752	30.5296107714	32.4072355014	5.906
1	0	0	2	2597	162	16.4310013752	29.3796594698	31.2572841998	25.071
2	0	0	1	1022	63	18.8433264539	31.7243034184	33.8775924929	8.284
2	0	0	2	2368	148	18.8433264539	26.1996674122	28.3529564868	21.496
3	0	0	1	996	62	22.5852460055	29.6270452272	32.2079357928	9.086
3	0	0	2	2341	146	22.5852460055	28.704513485	31.2854040506	10.473
4	0	0	1	918	57	25.8799878551	29.8370523824	32.794443968	15.968
4	0	0	2	2261	141	25.8799878551	28.5441109297	31.5015025153	6.662
5	0	0	1	338	21	19.1537307062	30.2022892907	32.3910492831	11.087
5	0	0	2	1682	105	19.1537307062	30.0449928979	32.2337528903	6.063
6	0	0	1	248	15	23.0032583872	33.5837572777	36.2124154972	6.063
6	0	0	2	1591	99	23.0032583872	33.8843063973	36.5129646167	4.945
7	0	0	1	1245	77	25.4769758369	28.0642396253	30.9755776981	6.96
7	0	0	2	2597	162	25.4769758369	25.0834777292	27.9948158019	21.811
8	0	0	1	106	6	21.4557704919	33.8648862859	36.3167079587	6.284
8	0	0	2	1447	90	21.4557704919	29.2921862642	31.744007937	7.906
9	0	0	1	920	57	19.903857003	36.3718991948	38.6463785937	10.709
9	0	0	2	2265	141	19.903857003	36.3129427718	38.5874221707	5.149
10	0	0	1	250	15	23.2229402071	34.9335448465	37.5873068322	4.095
10	0	0	2	1593	99	23.2229402071	34.4787948574	37.1325568431	4.772
11	0	0	1	415	25	20.9811520627	31.6071462954	34.0047317546	13.717
11	0	0	2	1762	110	20.9811520627	30.6627761632	33.0603616224	11.181
12	0	0	1	548	34	21.2328063041	33.8362118364	36.2625546559	10.819
