event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	440	27	19.7270819669	28.1107301165	30.6754454914	14.756
0	0	0	2	1784	111	19.7270819669	27.4404455698	30.0051609446	7.527
0	1	0	1	439	27	19.7270819669	26.8920392011	29.456754576	9.779
0	1	0	2	1785	111	19.7270819669	28.8872734063	31.4519887812	8.677
1	0	0	1	433	27	21.39563204	31.8262348325	34.6078781865	10.693
1	0	0	2	1780	111	21.39563204	31.1442068191	33.9258501731	17.842
2	0	0	1	487	30	20.2595528926	29.7193479711	32.3532898221	15.622
2	0	0	2	1832	114	20.2595528926	29.7905064357	32.4244482867	10.472
3	0	0	1	580	36	19.7982929481	31.7040238217	34.2779973271	11.118
3	0	0	2	1929	120	19.7982929481	33.2207415792	35.7947150846	5.464
4	0	0	1	902	56	27.2074124424	28.1886905806	31.725922753	8.661
4	0	0	2	2244	140	27.2074124424	28.6723751575	32.2096073299	5.968
5	0	0	1	1244	77	21.5784517354	30.2565570472	33.0619687662	7.086
5	0	0	2	2594	162	21.5784517354	25.6747908624	28.4802025814	19.166
6	0	0	1	476	29	20.0188483117	33.3741748396	35.9768227192	7.181
6	0	0	2	1824	114	20.0188483117	28.5443421223	31.1469900019	6.221
7	0	0	1	478	29	21.3312401471	30.6784232683	33.4516950406	9.071
7	0	0	2	1826	114	21.3312401471	29.3786574449	32.1519292173	10.882
8	0	0	1	431	26	16.0095380137	30.0520178915	32.1334158579	10.095
8	0	0	2	1777	111	16.0095380137	30.955398247	33.0367962134	5.15
9	0	0	1	456	28	25.2688125726	28.983479912	32.2686749661	7.024
9	0	0	2	1802	112	25.2688125726	28.8249091582	32.1101042123	8.41
10	0	0	1	1229	76	21.2587750835	29.110449426	31.8743000248	11.905
10	0	0	2	2580	161	21.2587750835	27.1306957715	29.8945463703	4.063
11	0	0	1	440	27	25.0517575103	27.8584677989	31.1154435524	10.409
11	0	0	2	1784	111	25.0517575103	27.5986782418	30.8556539953	5.685
12	0	0	1	1211	75	20.1068951444	26.0388879391	28.652982776	4.504
12	0	0	2	2561	160	20.1068951444	28.1898632322	30.8039580692	11.134
13	0	0	1	1211	75	19.761695608	32.0293075338	34.5985230237	9.134
13	0	0	2	2561	160	19.761695608	33.1999479876	35.7691634775	12.283
14	0	0	1	440	27	19.0488840442	33.9409821519	36.4175251025	8.378
14	0	0	2	1787	111	19.0488840442	33.9259275952	36.4024705459	5.937
15	0	0	1	431	26	19.6695811152	34.8726869494	37.429926646	9.055
15	0	0	2	1777	111	19.6695811152	35.350179295	37.9074189915	5.969
16	0	0	1	431	26	16.9880152085	29.762490882	31.9711005419	15.78
16	0	0	2	1779	111	16.9880152085	30.7743526724	32.9829623322	13.433
17	0	0	1	432	27	18.2814711074	29.0044056873	31.3811773813	9.465
17	0	0	2	1779	111	18.2814711074	31.134226904	33.510998598	12.189
18	0	0	1	429	26	21.5358492629	37.2945864708	40.0944594479	8.378
18	0	0	2	1774	110	21.5358492629	33.5958109298	36.3956839068	11.023
19	0	0	1	1022	63	27.4544079091	26.726640503	30.2959845241	13.418
19	0	0	2	2368	148	27.4544079091	21.2616453432	24.8309893643	20.158
20	0	0	1	431	26	18.8970180409	30.3686453209	32.8254441921	9.197
