requested_run,coda_run,timestamp,unix_time,db_validity_header,filename,status
4042,4042,"2025-05-24 04:09:43",1748074183,"-------[ 2025-05-24 04:09:43 ]","/cache/halla/sbs/GEp/raw/gep5_4042.evio.0.0",OK
4043,4043,"2025-05-24 07:09:25",1748084965,"-------[ 2025-05-24 07:09:25 ]","/cache/halla/sbs/GEp/raw/gep5_4043.evio.0.0",OK
