event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	214	13	21.5442669928	25.3777625601	26.0613972522	7.716
0	0	0	2	1556	97	21.5442669928	27.7700210898	28.4536557819	11.496
1	0	0	1	1253	78	20.7747284241	29.3000520112	29.9592679908	9.748
1	0	0	2	2600	162	20.7747284241	29.8112671392	30.4704831187	20.866
2	0	0	1	920	57	25.7273650145	29.4293336542	30.2457048617	9.023
2	0	0	2	2264	141	25.7273650145	30.31267115	31.1290423576	6.284
3	0	0	1	814	50	25.4012741157	27.3499576506	28.1559814626	15.874
3	0	0	2	2161	135	25.4012741157	28.1350610143	28.9410848263	12.977
3	1	0	1	821	51	25.4012741157	23.8413080706	24.6473318827	14.063
3	1	0	2	2164	135	25.4012741157	26.6499608811	27.4559846931	15.717
4	0	0	1	295	18	29.2004631173	27.5770278813	28.5036061501	15.653
4	0	0	2	1638	102	29.2004631173	27.7817296665	28.7083079353	6.614
5	0	0	1	1238	77	24.6807021069	29.7442509092	30.5274097974	7.181
5	0	0	2	2587	161	24.6807021069	29.4409012581	30.2240601463	15.118
6	0	0	1	242	15	24.4778742399	28.1781854183	28.9549082479	7.275
6	0	0	2	1582	98	24.4778742399	28.1434745869	28.9201974164	13.465
6	1	0	1	241	15	24.4778742399	34.3128227883	35.0895456178	5.244
6	1	0	2	1585	99	24.4778742399	30.6125369618	31.3892597914	8.567
7	0	0	1	551	34	21.2627814748	32.2742975698	32.9490002678	13.874
7	0	0	2	1896	118	21.2627814748	32.2371908487	32.9118935467	21.055
8	0	0	1	338	21	23.0413573984	36.2703445635	37.0014843733	7.496
8	0	0	2	1682	105	23.0413573984	32.3283053581	33.0594451679	4.724
9	0	0	1	189	11	24.999138432	30.2456629669	31.0389263585	5.748
9	0	0	2	1532	95	24.999138432	28.8342034362	29.6274668278	8.756
10	0	0	1	783	48	26.6152431636	29.6948486106	30.5393936384	4.63
10	0	0	2	2121	132	26.6152431636	23.5953400518	24.4398850796	4.126
11	0	0	1	899	56	23.9091579252	29.6591593468	30.4178358811	13.118
11	0	0	2	2241	140	23.9091579252	30.661285675	31.4199622093	11.906
12	0	0	1	224	14	23.7414502191	28.5223981827	29.2757530783	9.906
12	0	0	2	1566	97	23.7414502191	29.4524686389	30.2058235345	4.725
13	0	0	1	879	54	27.4359601646	26.4654633061	27.3360510214	6.599
13	0	0	2	2222	138	27.4359601646	26.9849704482	27.8555581635	6.252
14	0	0	1	346	21	25.9312800798	11.1678584218	11.9907001866	4.882
