event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	822	51	27.7578803412	28.3008991136	29.4645872118	10
0	0	0	2	2166	135	27.7578803412	27.6297143295	28.7934024277	12.709
1	0	0	1	488	30	22.3547445871	30.9836073617	31.9207808741	8.157
1	0	0	2	1832	114	22.3547445871	31.7798825742	32.7170560866	13.292
2	0	0	1	1277	79	20.1262008213	30.7170046704	31.5607513856	5.78
2	0	0	2	2626	164	20.1262008213	31.7740627633	32.6178094785	11.843
5	0	0	1	551	34	20.2224235489	32.8721662058	33.7199468473	9.008
5	0	0	2	1898	118	20.2224235489	31.4912329323	32.3390135737	7.213
6	0	0	1	1248	78	23.0833923634	29.8224334928	30.790153961	6.472
6	0	0	2	2598	162	23.0833923634	31.5003234448	32.468043913	13.464
7	0	0	1	917	57	23.7319066606	29.0359592524	30.0308672565	6.756
7	0	0	2	2261	141	23.7319066606	27.9145307792	28.9094387834	11.338
8	0	0	1	811	50	23.3722302437	28.3251097672	29.3049391285	4.284
8	0	0	2	2153	134	23.3722302437	28.9165548188	29.89638418	14.031
9	0	0	1	1248	78	23.4314453846	30.0820098879	31.0643217137	6.063
9	0	0	2	2598	162	23.4314453846	29.5469001769	30.5292120027	18
9	1	0	1	1244	77	23.4314453846	29.0936026292	30.0759144551	9.811
9	1	0	2	2594	162	23.4314453846	26.9744969579	27.9568087837	21.244
10	0	0	1	452	28	23.5300832335	31.7436903087	32.7301373094	13.937
10	0	0	2	1797	112	23.5300832335	30.9074073201	31.8938543208	5.748
11	0	0	1	183	11	21.7859773591	31.6087496092	32.5220788062	6.725
11	0	0	2	1526	95	21.7859773591	30.6439452281	31.557274425	13.905
12	0	0	1	933	58	24.9675767073	30.2039127922	31.2506235461	13.055
12	0	0	2	2277	142	24.9675767073	30.5385054289	31.5852161827	5.559
13	0	0	1	966	60	23.8931024252	30.7537603711	31.7554261533	6.126
13	0	0	2	2311	144	23.8931024252	29.0022378807	30.0039036628	6.032
14	0	0	1	591	36	19.0443327053	31.5061313385	32.3045231118	7.401
14	0	0	2	1941	121	19.0443327053	31.0729268562	31.8713186295	11.087
15	0	0	1	1269	79	19.1335451394	30.3191287909	31.1212605993	11.244
15	0	0	2	2619	163	19.1335451394	29.7162028876	30.518334696	15.654
16	0	0	1	1245	77	22.7069931659	30.1463027666	31.0982435261	7.339
16	0	0	2	2596	162	22.7069931659	31.022822211	31.9747629705	17.654
