event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	453	28	8.67870975427	31.4098166236	31.1838430997	6.378
0	0	0	2	1799	112	8.67870975427	33.2779290939	33.05195557	4
1	0	0	1	81	5	21.9947588192	36.5072963261	35.9346036909	6.284
1	0	0	2	1421	88	21.9947588192	30.576495507	30.0038028718	11.465
2	0	0	1	217	13	18.3067804767	28.1529872021	27.6763209909	11.622
2	0	0	2	1560	97	18.3067804767	28.3143050871	27.8376388759	18.221
3	0	0	1	449	28	9.48736278623	29.4745242728	29.2274952947	20.96
3	0	0	2	1796	112	9.48736278623	28.8245871697	28.5775581916	9.26
4	0	0	1	249	15	16.0365742386	30.6159237255	30.1983684327	11.779
4	0	0	2	1591	99	16.0365742386	31.9653882577	31.5478329649	12.472
5	0	0	1	918	57	19.8706647704	29.5694714029	29.0520852627	21.087
5	0	0	2	2261	141	19.8706647704	30.3184946149	29.8011084747	14.126
6	0	0	1	778	48	19.8108828864	34.6959564155	34.1801268573	20.504
6	0	0	2	2119	132	19.8108828864	36.3267238503	35.8108942921	18.378
7	0	0	1	584	36	9.51648759723	24.6669163896	24.4191290688	16.567
7	0	0	2	1931	120	9.51648759723	24.4992232629	24.2514359421	17.071
8	0	0	1	807	50	19.815195215	30.7506902803	30.234748439	13.023
8	0	0	2	2151	134	19.815195215	28.8197490749	28.3038072336	7.465
9	0	0	1	163	10	15.0621583776	30.0631816772	29.6709979191	10.315
9	0	0	2	1506	94	15.0621583776	31.0854296038	30.6932458457	11.181
10	0	0	1	588	36	10.6686932341	28.7785253134	28.5007372234	9.055
10	0	0	2	1939	121	10.6686932341	29.2928342121	29.0150461221	6.598
11	0	0	1	915	57	18.8922912287	31.8228191937	31.3309076371	7.465
11	0	0	2	2263	141	18.8922912287	32.6834824589	32.1915709023	7.874
12	0	0	1	806	50	20.2846849956	27.7359896534	27.2078233844	13.338
12	0	0	2	2148	134	20.2846849956	27.2934722034	26.7653059343	16.504
13	0	0	1	485	30	11.0485653459	29.0612872002	28.7736081192	16.756
13	0	0	2	1830	114	11.0485653459	30.6742903213	30.3866112403	15.575
14	0	0	1	488	30	10.2370600491	31.0086386824	30.742089322	11.591
14	0	0	2	1832	114	10.2370600491	31.2625930767	30.9960437163	16.834
15	0	0	1	478	29	9.55247691422	30.5685296342	30.3198052349	18
15	0	0	2	1825	114	9.55247691422	28.1045220135	27.8557976142	6.284
16	0	0	1	562	35	12.1118203428	30.3947195633	30.079355782	12.504
16	0	0	2	1911	119	12.1118203428	33.4858026084	33.1704388271	7.622
17	0	0	1	449	28	9.56712866065	26.6264528035	26.3773469065	17.937
17	0	0	2	1796	112	9.56712866065	30.4160512475	30.1669453506	6.63
18	0	0	1	1217	76	10.6779931939	30.4377798902	30.1597496508	8.252
18	0	0	2	2565	160	10.6779931939	29.5931794021	29.3151491626	18
19	0	0	1	584	36	10.1760493177	29.556482598	29.2915218159	11.779
19	0	0	2	1932	120	10.1760493177	26.2669327256	26.0019719435	23.843
20	0	0	1	1213	75	8.30436689473	28.2188662664	28.0026397644	9.401
20	0	0	2	2562	160	8.30436689473	25.5425628777	25.3263363757	14
21	0	0	1	1210	75	6.97473264548	38.5795492501	38.3979433479	6.347
21	0	0	2	2564	160	6.97473264548	32.7599792746	32.5783733725	11.937
22	0	0	1	513	32	7.04475627426	31.3585742822	31.1751451267	9.559
22	0	0	2	1861	116	7.04475627426	31.3425248733	31.1590957179	14.693
24	0	0	1	1277	79	6.88291017964	29.7544068601	29.5751918025	4.882
24	0	0	2	2626	164	6.88291017964	31.4238129394	31.2445978819	10.126
25	0	0	1	932	58	11.3810113753	33.6361748241	33.3398396176	15.496
25	0	0	2	2274	142	11.3810113753	37.9229875221	37.6266523157	18.094
26	0	0	1	740	46	20.6954579737	35.6796385034	35.1407766564	13.717
26	0	0	2	2078	129	20.6954579737	37.765994291	37.227132444	9.244
