event_index	pair_index	fold	layer	pixel	half_bar	ecal_time_ns	cdet_time_master_ns	cdet_time_candidate_ns	tot_ns
0	0	0	1	1279	79	17.1742910462	25.8646205432	26.6572713302	13.008
0	0	0	2	2629	164	17.1742910462	28.9520277203	29.7446785073	14
1	0	0	1	919	57	25.9308416669	31.0723763148	32.2691711053	10.252
1	0	0	2	2261	141	25.9308416669	28.843965482	30.0407602725	4.598
2	0	0	1	558	34	24.3219978964	31.6621404182	32.7846817051	15.197
2	0	0	2	1907	119	24.3219978964	29.0672360104	30.1897772974	6.74
3	0	0	1	415	25	17.7820582274	26.4650833509	27.2857846195	8.126
3	0	0	2	1762	110	17.7820582274	25.4654005564	26.2861018249	16.347
4	0	0	1	1269	79	26.6722878505	31.8936672633	33.1246822669	11.338
4	0	0	2	2618	163	26.6722878505	30.4999257824	31.7309407861	10.126
5	0	0	1	1280	80	26.8616902233	31.5811780942	32.8209346488	10.693
5	0	0	2	2629	164	26.8616902233	28.2057078885	29.4454644431	12.378
6	0	0	1	429	26	24.1429385131	33.4330895269	34.5473666263	7.071
6	0	0	2	1777	111	24.1429385131	28.7385705609	29.8528476603	4
7	0	0	1	1268	79	23.6859058791	30.1512721562	31.244455676	4.346
7	0	0	2	2618	163	23.6859058791	29.4281239936	30.5213075134	16.929
8	0	0	1	467	29	22.190182218	30.4597396454	31.4838905318	4.929
8	0	0	2	1814	113	22.190182218	30.7038469516	31.727997838	5.591
9	0	0	1	485	30	28.5075576896	26.72644835	28.0421671752	4.157
9	0	0	2	1829	114	28.5075576896	26.1226220042	27.4383408293	7.008
10	0	0	1	472	29	19.5210414044	28.5899188499	29.4908799895	28.834
10	0	0	2	1816	113	19.5210414044	28.1193770655	29.0203382051	4.189
11	0	0	1	233	14	29.9435349415	31.7300406927	33.1120346552	9.874
11	0	0	2	1576	98	29.9435349415	29.6658427619	31.0478367244	5.402
12	0	0	1	474	29	19.1245189891	29.0966548892	29.9793151974	10.094
12	0	0	2	1835	114	19.1245189891	30.4646002882	31.3472605964	16.252
13	0	0	1	473	29	19.6535485004	27.4463709806	28.3534477644	12.803
13	0	0	2	1814	113	19.6535485004	27.4818943581	28.3889711419	6.473
14	0	0	1	583	36	19.9024752192	29.0870371522	30.005602734	14.409
14	0	0	2	1931	120	19.9024752192	28.3341043869	29.2526699686	9.906
14	1	0	1	582	36	19.9024752192	28.9173685131	29.8359340948	14.126
14	1	0	2	1933	120	19.9024752192	28.3889572032	29.3075227849	7.969
15	0	0	1	1021	63	25.2976797713	14.322068151	15.4896404092	29.78
15	0	0	2	2372	148	25.2976797713	23.8730612865	25.0406335447	11.149
16	0	0	1	1255	78	12.5064234271	29.4650221037	30.0422352385	9.78
16	0	0	2	2603	162	12.5064234271	28.0994152049	28.6766283396	15.874
18	0	0	1	1094	68	20.0627959238	28.2316541426	29.1576190593	12.567
18	0	0	2	2442	152	20.0627959238	26.6308275344	27.5567924511	11.653
19	0	0	1	193	12	21.4221504064	35.1909622881	36.1796659459	6.315
19	0	0	2	1537	96	21.4221504064	34.7620582598	35.7507619176	7.622
20	0	0	1	1269	79	26.1596830364	29.651497345	30.8588539276	12.473
20	0	0	2	2619	163	26.1596830364	28.5378552409	29.7452118234	11.433
21	0	0	1	1064	66	23.9888598364	32.38751707	33.4946829249	8.882
21	0	0	2	2412	150	23.9888598364	29.1586511259	30.2658169808	5.685
22	0	0	1	1218	76	21.6329091234	30.6566709745	31.6551018497	4.583
22	0	0	2	2567	160	21.6329091234	28.9268443732	29.9252752485	9.228
23	0	0	1	215	13	25.3175948925	29.48969601	30.6581874174	4.221
23	0	0	2	1558	97	25.3175948925	31.2527695762	32.4212609836	8.41
25	0	0	1	379	23	20.5073333422	25.1420018443	26.0884836448	16.961
25	0	0	2	1724	107	20.5073333422	25.3651636298	26.3116454303	16.866
26	0	0	1	607	37	18.8284819856	28.4930317781	29.3620289916	6.74
26	0	0	2	1957	122	18.8284819856	29.4514030044	30.3204002179	5.937
27	0	0	1	430	26	20.1531758567	29.8173983543	30.7475346062	5.15
27	0	0	2	1776	111	20.1531758567	29.127512069	30.0576483209	9.937
28	0	0	1	159	9	25.4019747224	30.173519007	31.3459048249	8.662
28	0	0	2	1498	93	25.4019747224	30.0281157769	31.2005015948	10.977
29	0	0	1	1275	79	24.4812736274	27.9438568106	29.0737492035	14.41
29	0	0	2	2624	164	24.4812736274	29.0264955482	30.1563879411	11.685
30	0	0	1	1026	64	21.5600403976	37.9653469683	38.9604147089	5.906
30	0	0	2	2373	148	21.5600403976	38.4047874976	39.3998552382	7.937
32	0	0	1	163	10	23.5512766308	29.906883882	30.9938538131	13.653
32	0	0	2	1506	94	23.5512766308	29.2096320692	30.2966020003	19.055
33	0	0	1	438	27	22.2845320427	30.8123388288	31.8408442742	7.874
33	0	0	2	1783	111	22.2845320427	30.9385320584	31.9670375037	4
34	0	0	1	1230	76	23.5566728076	27.6379713265	28.7251903092	10.724
34	0	0	2	2581	161	23.5566728076	28.2344353273	29.32165431	11.748
35	0	0	1	547	34	23.7839134521	29.18833272	30.286039616	7.339
35	0	0	2	1894	118	23.7839134521	32.6233315356	33.7210384315	9.307
36	0	0	1	469	29	21.7448738607	30.1030362454	31.1066346666	9.685
36	0	0	2	1815	113	21.7448738607	29.7171563662	30.7207547874	7.15
37	0	0	1	471	29	23.2709588396	31.5341439006	32.6081762311	7.622
37	0	0	2	1817	113	23.2709588396	30.6845263032	31.7585586337	10.472
38	0	0	1	1243	77	16.9695711065	28.9496514457	29.732853725	6.283
38	0	0	2	2593	162	16.9695711065	27.5619023941	28.3451046734	12.126
39	0	0	1	1242	77	20.6924735512	30.9688659164	31.9238925548	10.457
39	0	0	2	2593	162	20.6924735512	28.8553724172	29.8103990556	16.992
40	0	0	1	1237	77	18.7570225534	31.1655616882	32.0312608107	6.63
40	0	0	2	2586	161	18.7570225534	32.534736307	33.4004354295	10.504
41	0	0	1	1241	77	22.4472233673	32.5158703676	33.5518845599	5.559
41	0	0	2	2590	161	22.4472233673	31.5354632077	32.5714774001	11.276
