# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.00117886
# detector_reference_ns 28.737
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 11 1527 24.2419 28.753 28.7557 0.0643619 1 -0.0186733
2 12 218 23.7501 28.7507 28.7528 0.219954 1 -0.0157578
2 13 1601 24.4462 28.7437 28.7466 0.0721009 1 -0.00961683
2 14 1212 24.574 28.7394 28.7424 0.100493 1 -0.00542755
2 15 1470 23.4505 28.7123 28.714 0.0894621 1 0.0230449
2 16 2372 23.1373 28.7361 28.7374 0.052435 1 -0.000402367
2 17 1577 23.3579 28.7542 28.7558 0.0750031 1 -0.0188131
2 18 1226 23.0796 28.7357 28.737 0.0876449 1 2.10607e-06
2 19 753 23.0105 28.7405 28.7417 0.107309 1 -0.00469178
2 20 983 22.5013 28.5466 28.5472 0.158379 1 0.189802
2 21 3387 22.2353 28.7387 28.739 0.042288 1 -0.00200971
2 22 4 22.3994 31.1077 31.1081 6.10904 0 0
2 23 1025 22.2738 28.7308 28.7311 0.117275 1 0.00589432
2 24 464 21.1108 28.7721 28.7711 0.18263 1 -0.0340534
2 25 2389 22.0864 28.737 28.7371 0.0545437 1 -5.49813e-05
2 26 5033 21.9054 28.7064 28.7062 0.0396437 1 0.0307756
2 27 16758 21.9338 28.7339 28.7338 0.0181468 1 0.00317406
2 28 8333 21.6193 28.7369 28.7365 0.0274445 1 0.000534595
2 29 8517 20.5986 28.7255 28.7239 0.0272784 1 0.0131189
2 30 19221 21.0139 28.7344 28.7332 0.0165467 1 0.00381472
2 31 1198 21.0584 28.7354 28.7343 0.107628 1 0.00270809
2 32 5830 19.784 28.7284 28.7257 0.0350682 1 0.0112728
2 33 6067 19.5169 28.7221 28.7191 0.0312242 1 0.017871
2 34 7020 21.0017 28.845 28.8438 0.0442674 1 -0.106773
2 35 3737 23.565 28.7535 28.7553 0.0643253 1 -0.0182992
2 36 3687 21.2458 28.7289 28.728 0.0444929 1 0.00904004
2 37 4514 19.4442 28.7299 28.7269 0.043935 1 0.0101108
2 38 1074 18.4317 28.6476 28.6433 0.121153 1 0.0936688
2 39 15 19.5503 38.035 38.0321 0.834057 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 1 25.5259 26.9872 26.9913 nan 0 0
2 45 760 25.8013 28.7342 28.7387 0.0992747 1 -0.00169986
2 46 0 nan nan nan nan 0 0
2 47 389 25.2987 28.6915 28.6954 0.204352 1 0.0416436
2 48 489 25.547 28.8182 28.8223 0.193873 1 -0.085321
2 49 223 24.0303 28.7911 28.7935 0.249201 1 -0.0564386
2 50 2670 24.4601 28.7363 28.7392 0.0534976 1 -0.00220062
2 51 938 25.3079 28.7744 28.7783 0.110715 1 -0.0412627
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1533 24.7659 28.7411 28.7443 0.070242 1 -0.00730783
2 55 1230 25.4357 28.7849 28.7889 0.0961373 1 -0.0518972
2 56 2765 26.0657 28.7447 28.7494 0.0475407 1 -0.0124274
2 57 1812 25.4897 28.7331 28.7372 0.0695212 1 -0.000166851
2 58 3126 26.0774 28.7446 28.7494 0.0491443 1 -0.0123633
2 59 854 25.1159 28.7481 28.7518 0.0866262 1 -0.0147462
