# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00326066
# detector_reference_ns 28.8066
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 13 1602 24.4463 30.79 30.782 0.0736438 1 -1.97542
2 14 1213 24.5792 30.7231 30.7147 0.102784 1 -1.90816
2 15 1471 23.4479 29.7844 29.7797 0.0902506 1 -0.973149
2 16 2372 23.1373 29.8846 29.8809 0.0524212 1 -1.07432
2 17 1579 23.3596 29.9684 29.964 0.0770396 1 -1.1574
2 18 1226 23.0827 29.4025 29.399 0.0903532 1 -0.592431
2 19 753 23.0105 29.8877 29.8844 0.107411 1 -1.0778
2 20 974 22.4954 29.5422 29.5406 0.15256 1 -0.73399
2 21 3386 22.2347 29.4447 29.4439 0.0422979 1 -0.63735
2 22 3 23.0883 36.8356 36.8321 3.27177 0 0
2 23 1026 22.2743 29.416 29.4151 0.116981 1 -0.608576
2 24 463 21.092 29.682 29.6849 0.180422 1 -0.878364
2 25 2388 22.0858 28.7745 28.7743 0.0545523 1 0.0323168
2 26 5047 21.9045 28.3307 28.331 0.0398828 1 0.475581
2 27 16737 21.9347 29.0239 29.0241 0.0181609 1 -0.217564
2 28 8335 21.6197 28.106 28.1072 0.0274371 1 0.699344
2 29 8512 20.5975 27.275 27.2796 0.0271606 1 1.52699
2 30 19221 21.0136 28.6568 28.66 0.0165421 1 0.146584
2 31 1193 21.0607 27.644 27.6471 0.107708 1 1.15947
2 32 5832 19.7842 26.7666 26.7738 0.0343502 1 2.03272
2 33 6061 19.517 25.5976 25.6057 0.0307229 1 3.20085
2 34 7018 21.0026 28.1762 28.1795 0.0437791 1 0.627087
2 35 3742 23.5603 29.9576 29.9525 0.0654703 1 -1.14595
2 36 3691 21.2422 27.1875 27.19 0.0446693 1 1.61659
2 37 4513 19.4467 26.6877 26.696 0.0438675 1 2.11053
