layer,side,module,bar_local,global_bar,t0,t1,sigma,alpha,beta,chi2,ndf,ok
1,2,2,4,18,10.0382,11.1663,0.0230475,0.000573362,0.998591,0.452702,9361,1
1,2,2,5,19,10.0418,11.1617,0.0232199,0.000623245,0.998675,0.383078,9361,1
1,2,2,6,20,10.0518,11.158,0.0262796,0.000693474,0.998045,0.430494,9361,1
1,2,2,7,21,10.0472,11.1753,0.0228874,0.000586002,0.999002,0.409676,9361,1
1,2,2,8,22,10.0434,11.1771,0.0218665,0.000600258,0.998656,0.605806,9361,1
1,2,2,9,23,10.049,11.1677,0.0289963,0.000416889,0.998911,0.429004,9361,1
1,2,2,10,24,10.0415,11.1603,0.0320056,7.50495e-06,0.998996,0.30222,9361,1
1,2,2,11,25,10.0486,11.1665,0.0235655,0.000638545,0.998767,0.375773,9361,1
1,2,2,12,26,10.0564,11.166,0.0308173,0.000835799,0.998737,0.473993,9361,1
1,2,2,13,27,10.022,11.1932,0.0226686,0.000209534,0.999276,0.514506,9361,1
1,2,2,14,28,10.0218,11.1976,0.0295735,-0.000289392,0.999734,0.39369,9361,1
1,2,3,1,29,10,11.127,0.05,0,1,0,0,0
1,2,3,2,30,10.016,11.1964,0.0218324,6.96272e-05,0.99948,0.434818,9361,1
1,2,3,3,31,10.0238,11.1674,0.0469988,-0.00111719,1.00087,0.488929,9361,1
1,2,3,4,32,10.028,11.1911,0.0276291,0.000215184,1.00005,0.441036,9361,1
1,2,3,5,33,10.0196,11.1913,0.0153491,0.000273416,0.998723,0.379918,9361,1
1,2,3,6,34,10.0311,11.1937,0.0249872,0.000753793,0.999843,0.767099,9361,1
1,2,3,7,35,10.0379,11.1981,0.0263436,0.000421195,1.00004,0.405449,9361,1
1,2,3,8,36,10.0286,11.1802,0.0315485,0.000292486,0.999754,0.37483,9361,1
1,2,3,9,37,10.0264,11.1838,0.0266938,0.000313311,0.99931,0.345351,9361,1
1,2,3,10,38,10.0242,11.1861,0.0248473,0.000342959,0.999431,0.346294,9361,1
1,2,3,11,39,10.0027,11.2291,0.0253375,-0.000139948,0.999791,0.462465,9361,1
1,2,3,12,40,10.0019,11.2421,0.026448,-0.000150142,1.00108,0.451022,9361,1
1,2,3,13,41,10.0058,11.2343,0.0250616,3.32376e-06,1.00041,0.441531,9361,1
1,2,3,14,42,10.0087,11.2146,0.025314,3.03475e-06,0.999674,0.441259,9361,1
2,1,1,1,1,10.0112,11.2051,0.0229118,-5.24031e-06,0.999729,0.327845,9361,1
2,1,1,2,2,10.0145,11.1982,0.0311174,-2.47071e-05,0.999754,0.337526,9361,1
2,1,1,3,3,10.0139,11.2093,0.0331097,-5.72716e-05,1.00027,0.324251,9361,1
2,1,1,4,4,10.0069,11.2078,0.0172968,4.2425e-05,0.998948,0.337284,9361,1
2,1,1,5,5,10.0006,11.2192,0.0162855,-0.000143587,0.99869,0.313095,9361,1
2,1,1,6,6,10.0159,11.206,0.0192967,0.000277321,0.999129,0.619006,9361,1
2,1,1,7,7,10.1143,11.0784,0.0435566,0.0033101,0.995344,0.531032,9361,1
2,1,1,8,8,10.1192,11.0815,0.0436945,0.00428283,0.994073,0.642481,9361,1
2,1,1,9,9,10.1152,11.0789,0.050765,0.00294379,0.996004,0.481569,9361,1
2,1,1,10,10,10.116,11.0804,0.0404267,0.00395286,0.994699,0.675208,9361,1
2,1,1,11,11,10.1127,11.0887,0.0374253,0.00319829,0.995102,0.548047,9361,1
2,1,1,12,12,10.1147,11.0823,0.046844,0.00349102,0.995867,0.691614,9361,1
2,1,1,13,13,10.0481,11.1999,0.0470549,0.000327891,1.00495,0.626162,9361,1
2,1,1,14,14,10.0255,11.1759,0.027596,8.20075e-05,0.999675,0.300943,9361,1
2,1,2,1,15,10.0393,11.1832,0.0361649,0.000195432,1.00098,0.363581,9361,1
2,1,2,2,16,10.0247,11.1947,0.0172725,0.000268766,0.999011,0.350181,9361,1
2,1,2,3,17,10.0187,11.2032,0.0190816,0.000145086,0.999565,0.405158,9361,1
2,1,2,4,18,10.0166,11.2077,0.0223822,7.6616e-05,0.999589,0.533264,9361,1
2,1,2,5,19,10.0221,11.1991,0.0262743,0.00020832,0.999888,0.42233,9361,1
2,1,2,6,20,10.0225,11.1887,0.0351068,0.00015398,1.00104,0.38386,9361,1
2,1,2,7,21,10.0153,11.1984,0.0301346,-0.000257323,1.0003,0.316392,9361,1
2,1,2,8,22,10.024,11.2058,0.0257492,0.000141007,1.00018,0.356821,9361,1
2,1,2,9,23,10.0236,11.2,0.0128679,0.000127832,0.998909,0.569163,9361,1
2,1,2,10,24,10.0132,11.1961,0.0158468,7.09586e-05,0.999068,0.376353,9361,1
2,1,2,11,25,10.121,11.0789,0.0487524,0.00360472,0.994295,0.501515,9361,1
2,1,2,12,26,10.1148,11.0815,0.0458185,0.00280865,0.994615,0.420739,9361,1
2,1,2,13,27,10.12,11.0788,0.0393008,0.00376452,0.993725,0.593001,9361,1
2,1,2,14,28,10.1185,11.0899,0.0404373,0.00328419,0.994892,0.548099,9361,1
2,1,3,1,29,9.99873,11.2551,0.0228182,-0.0002433,1.00082,0.441093,9361,1
2,1,3,2,30,9.99281,11.2573,0.0129575,-0.000179822,0.999975,0.526343,9361,1
2,1,3,3,31,10.0008,11.2436,0.0345223,-0.000335397,1.0029,0.468463,9361,1
2,1,3,4,32,9.99382,11.2429,0.0233595,-0.000393335,0.999923,0.371584,9361,1
2,1,3,5,33,10.0015,11.259,0.0422497,-0.000851144,1.00656,0.411651,9361,1
2,1,3,6,34,9.99947,11.2614,0.0298024,-0.0003134,1.00398,0.399393,9361,1
2,1,3,7,35,9.99169,11.2441,0.016793,-0.00029327,0.998591,0.294999,9361,1
2,1,3,8,36,9.9996,11.2377,0.024724,-0.000275563,0.999312,0.507502,9361,1
2,1,3,9,37,10.0672,11.1439,0.0359255,0.00132054,0.998939,0.586465,9361,1
2,1,3,10,38,10.0653,11.1413,0.029132,0.00116268,0.997479,0.484261,9361,1
2,1,3,11,39,10.07,11.1426,0.0314802,0.00130742,0.997683,0.472177,9361,1
2,1,3,12,40,10.0653,11.1319,0.032003,0.00107595,0.997498,0.339268,9361,1
2,1,3,13,41,10.0676,11.1532,0.0432757,0.00104298,1.00076,0.720558,9361,1
2,1,3,14,42,10.0719,11.155,0.0342655,0.00103476,0.998736,0.536954,9361,1
2,2,1,1,1,10.0626,11.1479,0.026164,0.000935936,0.997583,0.455715,9361,1
2,2,1,2,2,10.0639,11.1477,0.0317763,0.000992361,0.99835,0.586802,9361,1
2,2,1,3,3,10.0052,11.2388,0.0250723,-9.29101e-05,1.00066,0.337942,9361,1
2,2,1,4,4,10.0011,11.2344,0.0313717,-0.000384807,1.00018,0.276788,9361,1
2,2,1,5,5,9.99495,11.2184,0.0196573,-0.000418053,0.997456,0.296772,9361,1
2,2,1,6,6,10.0045,11.2383,0.0362572,-0.00066969,1.00125,0.296973,9361,1
2,2,1,7,7,10.0006,11.2263,0.0175224,-8.32094e-05,0.998534,0.395679,9361,1
2,2,1,8,8,9.99735,11.2205,0.00729554,-4.91243e-06,0.998137,0.43507,9361,1
2,2,1,9,9,10.0049,11.2295,0.0304105,-5.46416e-05,1.00132,0.476979,9361,1
2,2,1,10,10,9.99377,11.2396,0.0154181,-0.00011601,0.999711,0.453032,9361,1
2,2,1,11,11,10,11.127,0.05,0,1,0,0,0
2,2,1,12,12,10,11.127,0.05,0,1,0,0,0
2,2,1,13,13,10.0024,11.2431,0.0310149,-0.000220939,1.00238,0.320864,9361,1
2,2,1,14,14,10,11.2414,0.0232682,-0.000181785,1.00009,0.375153,9361,1
2,2,2,1,15,10.069,11.1438,0.0338928,0.00103097,0.997974,0.334025,9361,1
2,2,2,2,16,10.0672,11.1309,0.0406181,0.000938568,0.998096,0.414297,9361,1
2,2,2,3,17,10.0676,11.1444,0.0349939,0.00104622,0.998815,0.441809,9361,1
2,2,2,4,18,10.0603,11.1459,0.0224424,0.000885799,0.997407,0.418365,9361,1
2,2,2,5,19,10.0964,11.1113,0.0379737,0.00249534,0.99648,0.501196,9361,1
2,2,2,6,20,10.099,11.121,0.0311277,0.00305487,0.99591,0.675651,9361,1
2,2,2,7,21,10.1023,11.1048,0.0382659,0.00271368,0.995968,0.566144,9361,1
2,2,2,8,22,10.1006,11.1009,0.0424594,0.00291824,0.99609,0.537493,9361,1
2,2,2,9,23,10.0779,11.1303,0.0281652,0.00137219,0.997526,0.424878,9361,1
2,2,2,10,24,10.0859,11.1203,0.0310871,0.001996,0.996339,0.472842,9361,1
2,2,2,11,25,10.0902,11.1244,0.0334286,0.00197174,0.997099,0.469755,9361,1
2,2,2,12,26,10.0913,11.1212,0.0309003,0.00232607,0.996409,0.646539,9361,1
2,2,2,13,27,10.0113,11.2227,0.0297489,-2.50282e-05,1.00158,0.381638,9361,1
2,2,2,14,28,10.0009,11.2185,0.0291341,-0.00037233,0.999366,0.36504,9361,1
2,2,3,1,29,9.99969,11.2161,0.0193321,-0.00015661,0.999067,0.301013,9361,1
2,2,3,2,30,9.82185,11.1915,0.0010183,5.79789e-05,0.999919,176.661,9361,1
2,2,3,3,31,10.0149,11.1974,0.0149025,7.09983e-05,0.999379,0.304592,9361,1
2,2,3,4,32,10.0169,11.1915,0.0273174,-0.000273854,0.999679,0.359852,9361,1
2,2,3,5,33,10.024,11.192,0.0310458,0.000110502,1.00019,0.392332,9361,1
2,2,3,6,34,10.0194,11.2025,0.0228973,-7.89515e-05,0.999842,0.34605,9361,1
2,2,3,7,35,10.0236,11.194,0.0231298,0.000243426,0.999689,0.382426,9361,1
2,2,3,8,36,10.0236,11.1976,0.0253268,8.94283e-05,0.999849,0.366736,9361,1
2,2,3,9,37,10.0213,11.1917,0.0227385,0.000140126,0.999609,0.354313,9361,1
2,2,3,10,38,10.0208,11.1947,0.0222628,0.000220914,0.999679,0.559618,9361,1
2,2,3,11,39,10.0966,11.1217,0.0374327,0.00224977,0.996474,0.468387,9361,1
2,2,3,12,40,10.0839,11.1129,0.0387456,0.00124196,0.997228,0.377163,9361,1
2,2,3,13,41,10.1056,11.1213,0.0422591,0.00232748,0.997439,0.474815,9361,1
2,2,3,14,42,10.0906,11.1222,0.0358267,0.00179151,0.997195,0.501476,9361,1
