# CDet hierarchical eight-pixel-group timing diagnostic
# reference median of valid constrained individual centroids
# pixel bar group entries source broad_mu_ns group_mu_ns used_mu_ns used_mu_err_ns used_sigma_ns correction_ns total_offset_ns fit_status reason
68 4 8 3 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
69 4 8 3 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
70 4 8 2 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
71 4 8 6 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
72 4 9 10 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
73 4 9 20 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
74 4 9 26 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
75 4 9 25 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
76 4 9 22 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
77 4 9 12 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
78 4 9 21 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
79 4 9 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
80 5 10 5 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
81 5 10 7 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
82 5 10 26 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
83 5 10 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
84 5 10 5 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
85 5 10 3 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
86 5 10 3 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
87 5 10 21 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
88 5 11 2 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
89 5 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
90 5 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
91 5 11 2 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
92 5 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
93 5 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
94 5 11 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
95 5 11 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
96 6 12 1 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
97 6 12 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
98 6 12 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
99 6 12 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
100 6 12 3 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
101 6 12 35 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
102 6 12 4 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
103 6 12 6 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
104 6 13 4 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
105 6 13 29 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
106 6 13 39 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
107 6 13 13 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
108 6 13 20 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
109 6 13 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
110 6 13 40 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
111 6 13 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
112 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
113 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
114 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
115 7 14 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
116 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
117 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
118 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
119 7 14 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
120 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
121 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
122 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
123 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
124 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
125 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
126 7 15 0 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
127 7 15 0 unused nan nan nan nan nan 0 0 -1 "known unused pixel"
128 8 16 8 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
129 8 16 41 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
130 8 16 25 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
131 8 16 12 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
132 8 16 37 retained_existing nan nan nan nan nan 0 0 -1 "invalid eight-pixel group fit"
