global_halfbar,layer,halfbar_in_layer,instrumented_pixels,complete_min,complete_median,complete_max,complete_max_fraction,good_min,good_median,good_max,good_max_fraction,coherent_low_complete,coherent_low_good
148,2,64,14,287,18991.5,38155,2.13652,204,16661.5,34144,2.30306,0,0
149,2,65,14,64,19395,36046,2.01842,50,17319,32611,2.19966,0,0
150,2,66,14,1924,30984.5,48685,2.72615,1573,27459,43717,2.94877,0,0
151,2,67,14,1356,32324.5,48968,2.742,1025,28557,44149,2.97791,0,0
152,2,68,14,4176,31011,45049,2.52255,3480,26109,40125,2.70649,0,0
153,2,69,14,3771,27079,36708,2.05549,3154,23633.5,32120,2.16654,0,0
154,2,70,14,0,791,12020,0.673069,0,394.5,7265,0.490034,0,0
155,2,71,14,0,0,0,0,0,0,0,0,1,1
156,2,72,14,0,7039,20055,1.12299,0,3999,12510,0.843816,0,0
157,2,73,14,0,224,22286,1.24792,0,108.5,14158,0.954976,0,0
158,2,74,14,0,13285.5,38344,2.1471,0,7966.5,26460,1.78476,0,0
159,2,75,14,0,1529,31446,1.76084,0,799,21123,1.42477,0,0
160,2,76,14,494,42632.5,51635,2.89134,362,39168.5,47215,3.18472,0,0
161,2,77,14,0,40518.5,53415,2.99101,0,36786,47704,3.2177,0,0
162,2,78,14,0,18643.5,56559,3.16706,0,16168,50171,3.3841,0,0
163,2,79,14,53,23560.5,41598,2.32931,39,19247.5,37127,2.50427,0,0
164,2,80,14,2156,13473.5,33891,1.89775,1541,10382,27794,1.87474,0,0
165,2,81,14,14084,49619,59197,3.31478,12338,42663.5,50431,3.40164,0,0
166,2,82,14,135,2216.5,4447,0.249013,109,1668.5,3544,0.239048,0,0
167,2,83,14,0,9252.5,48132,2.69519,0,7206.5,43477,2.93258,0,0
