# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -0.000309875
# detector_reference_ns 28.4241
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 11 1537 24.213 28.5068 28.5075 0.0554037 1 -0.0834035
2 12 218 23.7319 28.4356 28.4362 0.171732 1 -0.0121098
2 13 1607 24.4453 28.431 28.4317 0.0729677 1 -0.00767798
2 14 1197 24.5581 28.5 28.5008 0.0683002 1 -0.0767231
2 15 1474 23.4481 28.4217 28.4221 0.067747 1 0.0019447
2 16 2367 23.1304 28.4236 28.4239 0.0461556 1 0.000166115
2 17 1564 23.3652 28.4199 28.4203 0.0613801 1 0.00372407
2 18 1214 23.0931 28.4112 28.4115 0.0718188 1 0.0125461
2 19 762 22.9336 28.4172 28.4175 0.0776671 1 0.00654594
2 20 1019 22.4698 28.5928 28.5929 0.100492 1 -0.168858
2 21 3387 22.2278 28.4072 28.4073 0.0362337 1 0.0168125
2 22 2 21.005 38.1354 38.1351 4.5415 0 0
2 23 1070 22.1938 28.4378 28.4379 0.0861894 1 -0.0138128
2 24 471 21.2095 28.409 28.4088 0.128942 1 0.0152689
2 25 2528 22.0519 28.4094 28.4094 0.0428912 1 0.0146739
2 26 5174 21.8909 28.3756 28.3756 0.0299998 1 0.0484816
2 27 16951 21.9258 28.4118 28.4117 0.0155068 1 0.0123201
2 28 8577 21.5663 28.3993 28.3991 0.0235004 1 0.0249448
2 29 9135 20.5795 28.3739 28.3735 0.0227145 1 0.050614
2 30 19973 20.9876 28.4017 28.4014 0.0143181 1 0.0226699
2 31 1192 20.9825 28.3821 28.3818 0.07591 1 0.0422724
2 32 6072 19.7467 28.3688 28.3681 0.0310106 1 0.0559819
2 33 6074 19.5102 28.328 28.3272 0.0275834 1 0.0968625
2 34 6945 21.082 28.4475 28.4472 0.0372042 1 -0.0231779
2 35 3798 23.4905 28.4626 28.463 0.048129 1 -0.0389735
2 36 3963 21.0225 28.3531 28.3528 0.0371831 1 0.0712779
2 37 4494 19.4193 28.3033 28.3025 0.0405738 1 0.121615
2 38 1043 18.3613 28.3419 28.3408 0.0934303 1 0.0832897
2 39 15 19.5503 37.6616 37.6609 0.80138 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 5 25.8412 35.8355 35.8366 2.35104 0 0
2 45 747 25.82 28.5104 28.5116 0.0900916 1 -0.0875024
2 46 0 nan nan nan nan 0 0
2 47 360 25.168 28.6918 28.6928 0.181201 1 -0.268717
2 48 470 25.5518 28.6869 28.688 0.162276 1 -0.263923
2 49 204 23.9789 28.5415 28.5421 0.206044 1 -0.118079
2 50 2755 24.4371 28.4646 28.4653 0.0484855 1 -0.0412736
2 51 973 25.151 28.5707 28.5717 0.0872425 1 -0.147597
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1534 24.7621 28.4825 28.4833 0.0635527 1 -0.0592791
2 55 1211 25.4099 28.519 28.5201 0.0707721 1 -0.0960353
2 56 2736 26.0758 28.4764 28.4776 0.043817 1 -0.0535519
2 57 1806 25.4966 28.4857 28.4867 0.0574363 1 -0.0626667
2 58 3101 26.0671 28.4722 28.4735 0.0442166 1 -0.0494316
2 59 840 25.1053 28.4509 28.4519 0.0748694 1 -0.0278254
2 60 1095 24.8777 28.4697 28.4706 0.0763251 1 -0.0465432
2 61 248 23.6167 28.5414 28.5419 0.170695 1 -0.117821
2 62 3327 23.1095 28.4426 28.4429 0.0454477 1 -0.0188528
2 63 1828 23.5114 28.5056 28.5061 0.0651533 1 -0.0819947
2 64 1796 24.3313 28.3309 28.3317 0.104272 1 0.0923987
