# CDet timing versus ECal time by half-bar (PMT group)
# Four overview canvases: two seven-half-bar banks for each layer
# layer half_module bank half_bar_in_half_module global_half_bar entries fit_status p0_ns p0_err_ns p1_ns_per_ns p1_err chi2 ndf chi2_ndf probability
2 4 0 0 56 3337 0 27.0823 0.318191 0.264327 0.0119329 43.7184 4 10.9296 7.34055e-09
2 4 0 1 57 2706 0 29.345 0.415409 0.147322 0.0161095 106.89 4 26.7225 3.35042e-22
2 4 0 2 58 3882 0 33.5453 0.379709 -0.00380091 0.0145202 51.787 4 12.9467 1.52845e-10
2 4 0 3 59 1180 0 31.349 0.757373 0.0597006 0.0303539 0.143803 2 0.0719016 0.930622
2 4 0 4 60 1553 0 28.8485 0.521849 0.129177 0.0209873 40.3187 3 13.4396 9.12007e-09
2 4 0 5 61 347 0 32.9294 1.39736 -0.0878359 0.0601443 4.09064 3 1.36355 0.251842
2 4 0 6 62 3768 0 29.2187 0.334964 0.06774 0.0144941 7.30978 3 2.43659 0.0626529
2 5 0 0 70 1 -1 nan nan nan nan nan 0 nan nan
2 5 0 1 71 0 -1 nan nan nan nan nan 0 nan nan
2 5 0 2 72 2 -1 nan nan nan nan nan 0 nan nan
2 5 0 3 73 10 0 -12.75 36.5736 2.0625 1.55184 4.24666e-28 0 nan nan
2 5 0 4 74 50 0 41.3165 5.63807 -0.474708 0.272102 0.093177 1 0.093177 0.760176
2 5 0 5 75 37 0 30.2652 6.24678 0.143099 0.303771 0.00524002 1 0.00524002 0.942293
2 5 0 6 76 8457 0 27.1583 0.224078 0.0447915 0.0107106 119.268 4 29.8169 7.65759e-25
2 0 1 7 7 119 0 30.1877 1.94527 0.0491002 0.0805096 2.1817 1 2.1817 0.13966
2 0 1 8 8 1102 0 30.7975 0.596205 0.0235191 0.0251605 4.28886 3 1.42962 0.231915
2 0 1 9 9 2698 0 34.632 0.481586 -0.111494 0.0198418 24.6719 2 12.336 4.39096e-06
2 0 1 10 10 2245 0 28.6729 0.409619 0.0891835 0.0177269 6.30231 3 2.10077 0.0977937
2 0 1 11 11 1784 0 30.5167 0.434234 0.0744312 0.0176292 7.90391 4 1.97598 0.0951623
2 0 1 12 12 283 0 31.8167 1.38944 -0.00205634 0.0578802 0.298469 3 0.0994897 0.960316
2 0 1 13 13 1936 0 29.7628 0.715868 0.0778457 0.0291979 51.4726 3 17.1575 3.87964e-11
2 1 1 7 21 4055 0 29.4168 0.256851 0.0364154 0.0115116 62.7084 3 20.9028 1.55029e-13
2 1 1 8 22 4 -1 nan nan nan nan nan 0 nan nan
2 1 1 9 23 1291 0 30.2324 0.484871 -0.0156821 0.0215401 18.6475 3 6.21582 0.000323339
2 1 1 10 24 677 0 31.6921 0.688304 -0.0658457 0.0321154 10.618 2 5.30901 0.00494682
2 1 1 11 25 3095 0 28.7116 0.340618 0.0553373 0.0154346 8.44058 4 2.11015 0.0767089
2 1 1 12 26 5978 0 27.5072 0.225356 0.0853808 0.0103115 41.6694 4 10.4174 1.95321e-08
2 1 1 13 27 21950 0 28.1478 0.127334 0.0844589 0.0057572 244.418 4 61.1045 1.03737e-51
