energy_center_gev,half_width_gev,energy_min_gev,energy_max_gev,ecal_events,events_with_selected_pair,selected_pairs,event_fraction,pairs_per_event,absolute_event_retention
3.75,0.05,3.7,3.8,2267,1182,1846,0.521394,0.814292,0.0443794
3.75,0.1,3.65,3.85,4489,2320,3609,0.516819,0.803965,0.0871067
3.75,0.15,3.6,3.9,6647,3412,5277,0.513314,0.793892,0.128107
3.75,0.2,3.55,3.95,8680,4448,6958,0.512442,0.801613,0.167005
3.75,0.25,3.5,4,10724,5485,8595,0.51147,0.801473,0.20594
3.75,0.3,3.45,4.05,12759,6534,10241,0.512109,0.802649,0.245326
3.75,0.35,3.4,4.1,14586,7427,11644,0.509187,0.7983,0.278854
3.75,0.4,3.35,4.15,16336,8275,12930,0.50655,0.791503,0.310693
3.75,0.45,3.3,4.2,18008,9114,14285,0.506108,0.793259,0.342194
3.75,0.5,3.25,4.25,19717,9982,15647,0.506264,0.793579,0.374784
3.75,0.55,3.2,4.3,21245,10735,16779,0.505295,0.789786,0.403056
3.75,0.6,3.15,4.35,22846,11539,18028,0.505077,0.78911,0.433243
3.75,0.65,3.1,4.4,24278,12256,19125,0.504819,0.78775,0.460164
3.75,0.7,3.05,4.45,25468,12817,19999,0.503259,0.78526,0.481227
3.75,0.75,3,4.5,26634,13385,20856,0.502553,0.783059,0.502553
