# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns -6.10167e-05
# detector_reference_ns 29.6304
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 12 246 23.4581 29.6127 29.6128 0.224728 1 0.0175413
2 13 1784 24.5054 29.6276 29.6277 0.0711535 1 0.00266604
2 14 1379 24.6328 29.6347 29.6349 0.0808477 1 -0.00448956
2 15 1639 23.3097 29.5947 29.5948 0.0776315 1 0.0355569
2 16 2574 23.1511 29.6325 29.6326 0.0507944 1 -0.00218209
2 17 1609 23.4429 29.6323 29.6324 0.0678315 1 -0.00203626
2 18 1308 23.0969 29.6484 29.6485 0.084637 1 -0.0181079
2 19 804 23.0779 29.6585 29.6586 0.0911823 1 -0.0281788
2 20 1165 22.5427 29.664 29.6641 0.0955425 1 -0.0336784
2 21 3787 22.195 29.6331 29.6332 0.0407518 1 -0.00277897
2 22 1 19.8301 33.1016 33.1015 nan 0 0
2 23 1130 22.3169 29.6327 29.6327 0.0889911 1 -0.00229701
2 24 547 20.649 29.6452 29.6451 0.155493 1 -0.01476
2 25 2620 22.0821 29.6317 29.6317 0.0551163 1 -0.00128946
2 26 4900 21.8635 29.6079 29.6079 0.0360591 1 0.0225157
2 27 20360 21.9238 29.6317 29.6317 0.0171173 1 -0.00133606
2 28 9745 21.682 29.633 29.633 0.0263824 1 -0.00265431
2 29 8724 20.4885 29.6271 29.627 0.0276212 1 0.00339192
2 30 19853 20.9828 29.6304 29.6303 0.0172518 1 7.731e-05
2 31 1490 21.125 29.6218 29.6218 0.0953589 1 0.00859849
2 32 6200 19.7547 29.6258 29.6257 0.0334129 1 0.00471929
2 33 7230 19.5474 29.6196 29.6194 0.0303159 1 0.0109491
2 34 6190 21.0598 29.6755 29.6754 0.0430046 1 -0.0450317
2 35 3914 23.7769 29.6274 29.6275 0.0637713 1 0.002895
2 36 3487 21.277 29.6208 29.6207 0.0477524 1 0.00965886
2 37 4569 19.4183 29.6296 29.6294 0.0454667 1 0.000934925
2 38 1009 18.2215 29.642 29.6417 0.122414 1 -0.0113617
2 39 1 22.8179 38.5491 38.5491 nan 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 0 nan nan nan nan 0 0
2 45 797 25.9001 29.5917 29.592 0.0970326 1 0.0384201
2 46 0 nan nan nan nan 0 0
2 47 422 25.3694 29.6155 29.6157 0.194828 1 0.0146742
2 48 498 25.4918 29.714 29.7142 0.181934 1 -0.0838262
2 49 243 23.9983 29.6925 29.6927 0.206472 1 -0.0622923
2 50 2408 24.483 29.6351 29.6353 0.0566628 1 -0.00491651
2 51 1084 25.1411 29.7014 29.7016 0.109295 1 -0.0712348
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1573 24.7196 29.6498 29.65 0.075705 1 -0.0196336
2 55 1332 25.4287 29.6327 29.6329 0.0867003 1 -0.00254416
