# CDet master calibration constants
# run 5710
# calibration_stage 7
# events_processed 2951891

[PixelOffsets]
0 0.000000 0
1 0.000000 0
2 0.000000 0
3 0.000000 0
4 0.000000 0
5 0.000000 0
6 0.000000 0
7 0.000000 0
8 0.000000 0
9 0.000000 0
10 0.000000 0
11 0.000000 0
12 0.000000 0
13 0.000000 0
14 0.000000 0
15 0.000000 0
16 0.000000 0
17 0.000000 0
18 0.000000 0
19 0.000000 0
20 0.000000 0
21 0.000000 0
22 0.000000 0
23 0.000000 0
24 0.000000 0
25 0.000000 0
26 0.000000 0
27 0.000000 0
28 0.000000 0
29 0.000000 0
30 0.000000 0
31 0.000000 0
32 0.000000 0
33 0.000000 0
34 0.000000 0
35 0.000000 0
36 0.000000 0
37 0.000000 0
38 0.000000 0
39 0.000000 0
40 0.000000 0
41 0.000000 0
42 0.000000 0
43 0.000000 0
44 0.000000 0
45 0.000000 0
46 0.000000 0
47 0.000000 0
48 0.000000 2
49 0.000000 0
50 0.000000 0
51 0.000000 0
52 0.000000 0
53 0.000000 0
54 0.000000 0
55 0.000000 1
56 0.000000 1
57 0.000000 0
58 0.000000 4
59 0.000000 0
60 0.000000 0
61 0.000000 0
62 0.000000 3
63 0.000000 11
64 -2.552408 4
65 -2.552408 0
66 -2.552408 4
67 -2.552408 8
68 -2.552408 6
69 -2.552408 3
70 -2.552408 6
71 -2.552408 11
72 6.342627 39
73 1.571932 36
74 2.560933 47
75 1.949177 31
76 3.105701 49
77 8.817235 42
78 4.026637 41
79 -2.552408 0
80 3.288585 12
81 3.288585 8
82 3.288585 33
83 -3.323932 0
84 3.288585 20
85 3.288585 3
86 9.063576 23
87 6.578859 67
88 -3.323932 5
89 -3.323932 1
90 -3.323932 0
91 -3.323932 2
92 -3.323932 0
93 -3.323932 0
94 -3.323932 0
95 -3.323932 0
96 23.454535 0
97 23.454535 0
98 23.454535 0
99 23.454535 0
100 21.751686 44
101 3.921906 1
102 23.445735 19
103 23.454535 34
104 4.173483 3
105 7.118952 104
106 6.456755 83
107 10.201322 42
108 9.457922 87
109 -1.318554 0
110 7.183344 82
111 -1.318554 0
112 0.000000 0
113 0.000000 0
114 0.000000 0
115 0.000000 0
116 0.000000 0
117 0.000000 0
118 0.000000 0
119 0.000000 0
120 0.000000 0
121 0.000000 0
122 0.000000 0
123 0.000000 0
124 0.000000 0
125 0.000000 0
126 0.000000 0
127 0.000000 0
128 3.560142 16
129 3.915140 57
130 4.658258 45
131 3.560142 17
132 5.126402 67
133 1.112373 54
134 4.553343 70
135 1.886748 75
136 3.645693 174
137 1.692617 135
138 2.862208 113
139 3.143850 174
140 -1.440764 0
141 1.720172 150
142 2.526710 14
143 -1.440764 0
144 1.221336 80
145 -2.662362 0
146 -2.507060 15
147 -2.507060 0
148 2.829821 66
