# CDet half-bar intercept alignment at common ECal time
# reference_ecal_time_ns 22
# common_within_slope_ns_per_ns 0.00609417
# detector_reference_ns 29.6149
# layer half_bar entries mean_ecal_ns mean_cdet_ns projected_cdet_at_reference_ns intercept_error_ns valid proposed_offset_increment_ns
2 13 1784 24.5054 31.6919 31.6767 0.0710938 1 -2.06174
2 14 1379 24.6341 31.6842 31.6682 0.0811808 1 -2.05327
2 15 1639 23.3035 30.2651 30.2572 0.0768503 1 -0.642265
2 16 2574 23.1511 30.9146 30.9076 0.0507786 1 -1.29266
2 17 1608 23.4416 30.9823 30.9735 0.0678415 1 -1.35862
2 18 1310 23.1009 30.2714 30.2647 0.0869997 1 -0.649741
2 19 805 23.075 30.4274 30.4208 0.0935006 1 -0.805894
2 20 1165 22.5394 30.7235 30.7202 0.093633 1 -1.10524
2 21 3788 22.195 30.2425 30.2413 0.040752 1 -0.626353
2 22 1 19.8301 33.074 33.0873 nan 0 0
2 23 1130 22.3143 29.8896 29.8877 0.0889964 1 -0.272739
2 24 547 20.6543 30.2063 30.2145 0.155006 1 -0.599603
2 25 2617 22.0832 29.7139 29.7134 0.0551695 1 -0.0984893
2 26 4913 21.8614 29.2463 29.2472 0.0358443 1 0.367774
2 27 20350 21.9243 29.9514 29.9518 0.0171227 1 -0.336916
2 28 9743 21.6831 28.9794 28.9813 0.0264207 1 0.63363
2 29 8717 20.4874 28.2151 28.2244 0.0276122 1 1.39057
2 30 19847 20.9821 29.0288 29.035 0.0171745 1 0.579888
2 31 1490 21.1307 28.4483 28.4536 0.0937879 1 1.1613
2 32 6201 19.7537 27.656 27.6697 0.0328454 1 1.94525
2 33 7230 19.5467 26.5909 26.6059 0.0299712 1 3.00903
2 34 6183 21.0653 28.9294 28.9351 0.042465 1 0.679794
2 35 3917 23.7655 30.4847 30.474 0.0639324 1 -0.859059
2 36 3484 21.278 28.1257 28.1301 0.0471648 1 1.48482
2 37 4569 19.4205 27.6524 27.6682 0.0451037 1 1.94677
2 38 1009 18.2215 27.6066 27.6296 0.122934 1 1.9853
2 39 1 22.8179 38.5364 38.5314 nan 0 0
2 40 0 nan nan nan nan 0 0
2 41 0 nan nan nan nan 0 0
2 42 0 nan nan nan nan 0 0
2 43 0 nan nan nan nan 0 0
2 44 0 nan nan nan nan 0 0
2 45 799 25.8974 34.0337 34.01 0.0967638 1 -4.39507
2 46 0 nan nan nan nan 0 0
2 47 423 25.361 31.5481 31.5276 0.193715 1 -1.91271
2 48 496 25.5042 32.5128 32.4914 0.183734 1 -2.87652
2 49 243 23.9931 30.2578 30.2457 0.206729 1 -0.630773
2 50 2407 24.4743 32.1337 32.1187 0.0568709 1 -2.50373
2 51 1085 25.1587 34.2162 34.197 0.110129 1 -4.58206
2 52 0 nan nan nan nan 0 0
2 53 0 nan nan nan nan 0 0
2 54 1568 24.7261 32.8574 32.8408 0.0758975 1 -3.22587
2 55 1334 25.4315 33.427 33.406 0.0864591 1 -3.79112
2 56 2999 26.164 33.9664 33.941 0.0505988 1 -4.32611
2 57 2372 25.4203 32.8829 32.862 0.0618806 1 -3.24711
2 58 3542 26.1342 33.4177 33.3925 0.0503805 1 -3.77761
2 59 1111 25.0955 32.7475 32.7286 0.0837804 1 -3.1137
2 60 1445 24.9405 32.0195 32.0016 0.0801489 1 -2.3867
2 61 246 23.5756 31.0391 31.0295 0.20255 1 -1.41462
2 62 3308 23.1454 30.6791 30.6721 0.0567962 1 -1.05716
2 63 1993 23.5305 30.3606 30.3513 0.0713355 1 -0.736356
2 64 2028 24.4428 30.8202 30.8053 0.11104 1 -1.19036
2 65 1275 22.1186 29.6658 29.6651 0.104987 1 -0.0501523
2 66 12569 22.9896 30.2239 30.2178 0.0272898 1 -0.602908
2 67 3113 23.0869 31.7529 31.7463 0.0555452 1 -2.13135
2 68 5650 22.4148 30.2218 30.2193 0.0395989 1 -0.604334
2 69 2455 22.6831 30.2743 30.2702 0.0594291 1 -0.655242
2 70 0 nan nan nan nan 0 0
2 71 0 nan nan nan nan 0 0
2 72 0 nan nan nan nan 0 0
2 73 6 19.861 37.2546 37.2677 5.74943 0 0
2 74 33 20.5604 30.9919 31.0006 1.4868 0 0
2 75 26 21.38 32.5362 32.54 1.65835 0 0
2 76 7145 20.8069 27.9973 28.0046 0.0346719 1 1.61031
2 77 9946 20.8223 28.0691 28.0763 0.0237035 1 1.53864
2 78 14974 19.9167 28.3191 28.3318 0.0247469 1 1.28309
2 79 13566 22.0599 29.1833 29.183 0.0186901 1 0.431957
2 80 3779 21.5651 27.7202 27.7228 0.0457173 1 1.89208
2 81 0 nan nan nan nan 0 0
2 82 0 nan nan nan nan 0 0
2 83 0 nan nan nan nan 0 0
